grid,cohort,mag,encoders,pairs,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
224px,CPTAC,5x,3,3,0.5431838380699502,0.5806131424009965,0.5958001630415277,0.8360685413624079,0.7105439829335009,0.5203163136829129,0.7550700687271229
224px,CPTAC,10x,3,3,0.5322525065678877,0.5621614945571034,0.6204766196043031,0.8426833021119129,0.7222080189221033,0.500765342501765,0.7442134341143326
224px,CPTAC,20x,4,6,0.4864878365168845,0.5156334850005856,0.5669507263630601,0.7793823895640112,0.6827961757267106,0.47705942904421694,0.7144164242260697
224px,TCGA,5x,3,3,0.517197443804433,0.5543601241027196,0.6021914469952357,0.8364432667309698,0.7045641392559426,0.4904764303474814,0.7321508354782535
224px,TCGA,10x,3,3,0.5316579259977405,0.5705396937040296,0.6190666153092527,0.8380452709842662,0.7074501257001214,0.47839703597612404,0.7446668057608097
224px,TCGA,20x,4,6,0.45880250357414626,0.4882943945403826,0.568464951915232,0.7670269280141179,0.6497686836961251,0.3963629058340448,0.6931450653339559
256px,CPTAC,10x,6,15,0.6002219896028844,0.6268072254708043,0.5666226731978065,0.6370182182531519,0.6088821955506087,0.5668115763328693,0.7894422093481354
256px,CPTAC,20x,5,10,0.5427008756586215,0.570544965657591,0.5104103878710795,0.6081848666525883,0.5784129627211607,0.502581435698373,0.7492071269394419
256px,TCGA,10x,6,15,0.6455115100897151,0.6692066489113252,0.618498828365377,0.6940579393305133,0.6190354079931839,0.6039674310472556,0.8190061246163683
256px,TCGA,20x,6,15,0.6491684112690645,0.6748178633649957,0.6096945290671143,0.6618335055601199,0.5896350588022581,0.6452906907729612,0.8213746394154351
512px,CPTAC,5x,2,1,0.8423809625702025,0.852705287566684,0.5782261935172175,0.6834946069702685,0.7754405751554144,0.829528798006656,0.9236012467284076
512px,CPTAC,10x,2,1,0.8455147944401515,0.8552271348945305,0.5824734899128815,0.6911472121749782,0.7809023989792004,0.8309840728733046,0.9251203292348996
512px,CPTAC,20x,2,1,0.8266747320170938,0.8371843165011021,0.56959368835994,0.6861079762557979,0.766546938118454,0.8083918303835445,0.9153001007020528
512px,TCGA,5x,2,1,0.8902473800143106,0.8994251594202531,0.5720458214157653,0.6907546791910508,0.7955883080946862,0.8983229714063112,0.9484973472005064
512px,TCGA,10x,2,1,0.850030646123022,0.8630766095463086,0.6127876303587939,0.7075493491239347,0.8000165907709959,0.8262183783414374,0.9305819224207073
512px,TCGA,20x,2,1,0.8596743822280719,0.8700850361210487,0.5794746209120465,0.6959049663200453,0.7862492676386376,0.8490276525107953,0.9336528610436264
