source,target,cosine,r2
conch_v1,ctranspath,0.880542301700209,0.39730231111924275
conch_v1,gigapath,0.6368009746363452,0.21699124338113418
conch_v1,keep,0.7739059973058278,0.3632531683830146
conch_v1,resnet50,0.947123174501443,0.4294980573700323
conch_v1,uni_v2,0.6427547163225865,0.2616712393066062
ctranspath,conch_v1,0.8500248008251945,0.5253490843314625
ctranspath,gigapath,0.6749062055655782,0.2936429014134019
ctranspath,keep,0.7638836300569611,0.3344423479528593
ctranspath,resnet50,0.964533793867151,0.6164043819043192
ctranspath,uni_v2,0.6661909549352518,0.3063540154257668
gigapath,conch_v1,0.8674066373320348,0.5904941475168943
gigapath,ctranspath,0.9140504849689,0.5674142108134566
gigapath,keep,0.7896522253078413,0.42610364747340057
gigapath,resnet50,0.960373495787576,0.5730305026207456
gigapath,uni_v2,0.7010567393096374,0.38871611428646746
keep,conch_v1,0.85724065566649,0.5538121466891398
keep,ctranspath,0.8832590942830391,0.41360770200927155
keep,gigapath,0.6443263939862979,0.2410161621300091
keep,resnet50,0.9459688708900443,0.4208312002951001
keep,uni_v2,0.6568137832719575,0.29554937016975846
resnet50,conch_v1,0.8181739653371731,0.4426088415589957
resnet50,ctranspath,0.9085870341329871,0.5410808493389269
resnet50,gigapath,0.6465255107274441,0.24914452502814444
resnet50,keep,0.7268557632012783,0.2595113585615776
resnet50,uni_v2,0.6280186182038691,0.2456722700520455
uni_v2,conch_v1,0.8763563607792214,0.6145690725646955
uni_v2,ctranspath,0.9132534782832695,0.5617373927886202
uni_v2,gigapath,0.7069551627578308,0.3706918909083561
uni_v2,keep,0.8050816797936742,0.4635419713710949
uni_v2,resnet50,0.9587025753046333,0.5540551168674974
