query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.6375,0.8965,0.954,0.7515999939272291,1.0,2000.0
ctranspath,conch_v1,0.678,0.899,0.945,0.7740726286876624,1.0,2000.0
conch_v1,gigapath,0.7705,0.9505,0.9805,0.8511081116954518,1.0,2000.0
gigapath,conch_v1,0.638,0.8835,0.936,0.7464369707524497,1.0,2000.0
conch_v1,keep,0.654,0.9075,0.96,0.765365488132623,1.0,2000.0
keep,conch_v1,0.618,0.8765,0.927,0.7296939534086219,1.0,2000.0
conch_v1,resnet50,0.4725,0.797,0.892,0.614239823593136,2.0,2000.0
resnet50,conch_v1,0.413,0.7195,0.8135,0.551876868881082,2.0,2000.0
conch_v1,uni_v2,0.7905,0.962,0.9835,0.8664108039377801,1.0,2000.0
uni_v2,conch_v1,0.678,0.9105,0.953,0.7796489630446927,1.0,2000.0
ctranspath,gigapath,0.8815,0.979,0.9915,0.9247033483119187,1.0,2000.0
gigapath,ctranspath,0.818,0.96,0.9815,0.8792350207540638,1.0,2000.0
ctranspath,keep,0.679,0.916,0.961,0.783886757187193,1.0,2000.0
keep,ctranspath,0.5985,0.886,0.9415,0.7252844448543682,1.0,2000.0
ctranspath,resnet50,0.8785,0.974,0.9855,0.9213096808471348,1.0,2000.0
resnet50,ctranspath,0.801,0.944,0.973,0.8662842469438207,1.0,2000.0
ctranspath,uni_v2,0.9,0.9875,0.994,0.93789806209872,1.0,2000.0
uni_v2,ctranspath,0.818,0.969,0.985,0.8822723064541558,1.0,2000.0
gigapath,keep,0.6845,0.906,0.945,0.7832457627615013,1.0,2000.0
keep,gigapath,0.76,0.9455,0.9725,0.8416711431894685,1.0,2000.0
gigapath,resnet50,0.6755,0.92,0.9615,0.7796610484644275,1.0,2000.0
resnet50,gigapath,0.7045,0.9285,0.9665,0.8039448729362395,1.0,2000.0
gigapath,uni_v2,0.93,0.9855,0.993,0.9547071711059212,1.0,2000.0
uni_v2,gigapath,0.9345,0.9875,0.996,0.9584724214722059,1.0,2000.0
keep,resnet50,0.3895,0.731,0.832,0.5370802981264319,2.0,2000.0
resnet50,keep,0.4135,0.712,0.8085,0.547652771293971,2.0,2000.0
keep,uni_v2,0.8295,0.97,0.9875,0.8912997970820815,1.0,2000.0
uni_v2,keep,0.758,0.947,0.9765,0.8429257644820664,1.0,2000.0
resnet50,uni_v2,0.655,0.9065,0.9525,0.7639042237970461,1.0,2000.0
uni_v2,resnet50,0.6155,0.8845,0.9475,0.7347418604219371,1.0,2000.0
