source,target,cosine,r2
conch_v1,ctranspath,0.9279766689821461,0.6410160926076738
conch_v1,gigapath,0.7107313596894357,0.38656840137308035
conch_v1,keep,0.8174324711131333,0.5093841236597851
conch_v1,resnet50,0.9694816188635657,0.6725512624984681
conch_v1,uni_v2,0.7066549406367262,0.40116325920833196
ctranspath,conch_v1,0.8813800718683303,0.6299276802755368
ctranspath,gigapath,0.7239387806731775,0.40835158653558645
ctranspath,keep,0.8112069584044175,0.4869060140552389
ctranspath,resnet50,0.9762193162125181,0.744250666630722
ctranspath,uni_v2,0.7129040632070186,0.40926772259328414
gigapath,conch_v1,0.8866897550978808,0.6476556511896003
gigapath,ctranspath,0.9392055818016223,0.6956592506530188
gigapath,keep,0.817008347185341,0.5038822319535922
gigapath,resnet50,0.9742244427343402,0.723268419562066
gigapath,uni_v2,0.723805715753163,0.43107978532018554
keep,conch_v1,0.8880839456153177,0.6568139332593077
keep,ctranspath,0.9298229845375406,0.6497126880154978
keep,gigapath,0.7146190725516901,0.39407856561804655
keep,resnet50,0.9678830830795474,0.6569991088663204
keep,uni_v2,0.7144696866301107,0.41534983530345815
resnet50,conch_v1,0.85028403722623,0.5448287943946137
resnet50,ctranspath,0.9315114759597459,0.6585272819533368
resnet50,gigapath,0.6993085286851685,0.362351966367189
resnet50,keep,0.7776971146147238,0.4074030080846056
resnet50,uni_v2,0.6815188658337153,0.35321020387599145
uni_v2,conch_v1,0.8914780679211417,0.6620448736987934
uni_v2,ctranspath,0.9407252207256795,0.702434488572481
uni_v2,gigapath,0.7348815621487517,0.42984926559343717
uni_v2,keep,0.8243769064877334,0.5223775068043224
uni_v2,resnet50,0.9732488195109817,0.7132726893346013
