query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.969,0.9995,0.9995,0.9819037878787878,1.0,2000.0
ctranspath,conch_v1,0.9625,0.9975,0.999,0.9786644716394717,1.0,2000.0
conch_v1,gigapath,0.961,0.9965,0.998,0.9765021712158809,1.0,2000.0
gigapath,conch_v1,0.9545,0.991,0.9975,0.9717323300848116,1.0,2000.0
conch_v1,keep,0.9495,0.993,0.9995,0.9697621031746032,1.0,2000.0
keep,conch_v1,0.951,0.994,0.998,0.9705805817154448,1.0,2000.0
conch_v1,resnet50,0.8875,0.992,0.998,0.9346258870214752,1.0,2000.0
resnet50,conch_v1,0.8885,0.984,0.9955,0.9319048726392262,1.0,2000.0
conch_v1,uni_v2,0.9765,0.999,1.0,0.986754761904762,1.0,2000.0
uni_v2,conch_v1,0.965,0.9965,0.9995,0.9793886507936509,1.0,2000.0
ctranspath,gigapath,0.9815,0.9975,0.9985,0.9889868523949169,1.0,2000.0
gigapath,ctranspath,0.9835,0.996,0.998,0.9889169444444444,1.0,2000.0
ctranspath,keep,0.967,0.998,1.0,0.9812178571428571,1.0,2000.0
keep,ctranspath,0.9705,0.999,1.0,0.9830583333333333,1.0,2000.0
ctranspath,resnet50,0.974,0.998,1.0,0.9851875,1.0,2000.0
resnet50,ctranspath,0.9715,0.997,0.9995,0.982495634920635,1.0,2000.0
ctranspath,uni_v2,0.991,0.9995,1.0,0.9948083333333333,1.0,2000.0
uni_v2,ctranspath,0.985,1.0,1.0,0.9917416666666666,1.0,2000.0
gigapath,keep,0.952,0.989,0.9955,0.9683806617257567,1.0,2000.0
keep,gigapath,0.9655,0.995,0.997,0.9786140006523972,1.0,2000.0
gigapath,resnet50,0.96,0.996,0.9985,0.9763281350221248,1.0,2000.0
resnet50,gigapath,0.9595,0.993,0.997,0.9755147347750289,1.0,2000.0
gigapath,uni_v2,0.99,0.997,0.9985,0.9935898823398823,1.0,2000.0
uni_v2,gigapath,0.986,0.998,0.999,0.9918247986694678,1.0,2000.0
keep,resnet50,0.8875,0.984,0.994,0.9322238681997659,1.0,2000.0
resnet50,keep,0.88,0.9745,0.991,0.9239884044573116,1.0,2000.0
keep,uni_v2,0.987,0.9995,1.0,0.9926875,1.0,2000.0
uni_v2,keep,0.975,0.9985,1.0,0.9861208333333334,1.0,2000.0
resnet50,uni_v2,0.9585,0.9955,0.9985,0.9744936722436722,1.0,2000.0
uni_v2,resnet50,0.9475,0.997,0.9995,0.9699835317460318,1.0,2000.0
