source,target,cosine,r2
conch_v1,ctranspath,0.9281253640908561,0.6410262652351126
conch_v1,gigapath,0.7133300654691674,0.3913628853399088
conch_v1,keep,0.8308473019662532,0.5394394758208705
conch_v1,resnet50,0.9691230992340604,0.6691614553698526
conch_v1,uni_v2,0.7110683087382493,0.41026314506272976
ctranspath,conch_v1,0.9008366538766281,0.6942634445328464
ctranspath,gigapath,0.7244061076829176,0.41130719144960537
ctranspath,keep,0.8233258005210545,0.5191220260085769
ctranspath,resnet50,0.9763877418881759,0.7468558534878242
ctranspath,uni_v2,0.7147143626278345,0.41488802167253347
gigapath,conch_v1,0.9105302403090799,0.7225061394971293
gigapath,ctranspath,0.937518048578121,0.6870811912195132
gigapath,keep,0.835756854649518,0.5511705389472911
gigapath,resnet50,0.9736426206075391,0.7175595402874657
gigapath,uni_v2,0.730463732155432,0.44568733540934136
keep,conch_v1,0.9081384848494968,0.7162777936567477
keep,ctranspath,0.927922533492001,0.6399579525993326
keep,gigapath,0.7155152377631206,0.39631624665751397
keep,resnet50,0.9669391867361073,0.6473097426304313
keep,uni_v2,0.7190072766956513,0.4252928945776733
resnet50,conch_v1,0.8609371167438289,0.5822919814914886
resnet50,ctranspath,0.9308039184030725,0.6552408411424493
resnet50,gigapath,0.6962605788712918,0.3583428268834762
resnet50,keep,0.7816510638390081,0.41951699431058
resnet50,uni_v2,0.6794268101180652,0.3516414579215622
uni_v2,conch_v1,0.9176869514618576,0.7435754829637113
uni_v2,ctranspath,0.9385261894177565,0.6911493969551785
uni_v2,gigapath,0.7392603132134655,0.4398116708496057
uni_v2,keep,0.8476553973047487,0.5811475802867545
uni_v2,resnet50,0.9722754053237195,0.7033680271273127
