query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.969,0.998,0.999,0.9819534391534391,1.0,2000.0
ctranspath,conch_v1,0.958,0.995,0.9975,0.9745667313895255,1.0,2000.0
conch_v1,gigapath,0.9655,0.9945,0.998,0.9781884160756501,1.0,2000.0
gigapath,conch_v1,0.958,0.992,0.995,0.9725337552942649,1.0,2000.0
conch_v1,keep,0.963,0.995,0.997,0.9774891053391053,1.0,2000.0
keep,conch_v1,0.962,0.9945,0.998,0.9768432480648283,1.0,2000.0
conch_v1,resnet50,0.868,0.986,0.9935,0.9190790760826277,1.0,2000.0
resnet50,conch_v1,0.8445,0.9625,0.9815,0.8969300305510584,1.0,2000.0
conch_v1,uni_v2,0.98,0.999,1.0,0.9889333333333334,1.0,2000.0
uni_v2,conch_v1,0.9675,0.9975,0.9985,0.9804931989063569,1.0,2000.0
ctranspath,gigapath,0.9765,0.995,0.9975,0.9846612902722277,1.0,2000.0
gigapath,ctranspath,0.9725,0.9955,0.9985,0.9823271839271839,1.0,2000.0
ctranspath,keep,0.9495,0.9935,0.9985,0.9694395021645021,1.0,2000.0
keep,ctranspath,0.965,0.9965,0.9985,0.9794258116883117,1.0,2000.0
ctranspath,resnet50,0.961,0.9965,0.999,0.9770033910533911,1.0,2000.0
resnet50,ctranspath,0.948,0.9915,0.9985,0.9674942515817515,1.0,2000.0
ctranspath,uni_v2,0.987,0.9995,1.0,0.9924291666666667,1.0,2000.0
uni_v2,ctranspath,0.981,0.998,0.9995,0.9893880952380952,1.0,2000.0
gigapath,keep,0.9405,0.9855,0.9905,0.960658429135435,1.0,2000.0
keep,gigapath,0.9555,0.9915,0.9955,0.9718307618268052,1.0,2000.0
gigapath,resnet50,0.9265,0.989,0.9965,0.9551406265031266,1.0,2000.0
resnet50,gigapath,0.9215,0.986,0.994,0.9510670641670642,1.0,2000.0
gigapath,uni_v2,0.985,0.9975,0.9975,0.9900545622480967,1.0,2000.0
uni_v2,gigapath,0.985,0.997,0.9995,0.9898854166666667,1.0,2000.0
keep,resnet50,0.8245,0.9725,0.9865,0.8888692687857378,1.0,2000.0
resnet50,keep,0.812,0.941,0.964,0.870236664315966,1.0,2000.0
keep,uni_v2,0.9875,0.999,1.0,0.9930505952380951,1.0,2000.0
uni_v2,keep,0.9755,0.9985,1.0,0.9856630952380951,1.0,2000.0
resnet50,uni_v2,0.9115,0.9815,0.9945,0.9438765963203464,1.0,2000.0
uni_v2,resnet50,0.9065,0.9905,0.998,0.9449930820105821,1.0,2000.0
