source,target,cosine,r2
conch_v1,ctranspath,0.9126018950842412,0.5591853140690232
conch_v1,gigapath,0.692189252434703,0.34371554065634113
conch_v1,keep,0.8081323930453611,0.47020363715430935
conch_v1,resnet50,0.9548094246770962,0.5115402648014054
conch_v1,uni_v2,0.6913986623058789,0.3699577728857919
ctranspath,conch_v1,0.8781370121323067,0.6098392009270579
ctranspath,gigapath,0.7097850467425859,0.3716410073660411
ctranspath,keep,0.7981257233876305,0.4306970095499649
ctranspath,resnet50,0.9638814298732525,0.6056585804627916
ctranspath,uni_v2,0.6990781724168461,0.3759673075057176
gigapath,conch_v1,0.8768985663926643,0.6091019448527153
gigapath,ctranspath,0.9208486944085202,0.5985829370324682
gigapath,keep,0.8030571203477594,0.4511258137296208
gigapath,resnet50,0.9549549115037235,0.5078753749981542
gigapath,uni_v2,0.7167658148898602,0.41724405693778677
keep,conch_v1,0.8808812180519031,0.6269829201975845
keep,ctranspath,0.9069755145175513,0.5316337408177774
keep,gigapath,0.6882410499459751,0.33838225039874315
keep,resnet50,0.948813462149177,0.449548100797037
keep,uni_v2,0.6954308980413102,0.3789519551508327
resnet50,conch_v1,0.8366594186265484,0.49706675755084906
resnet50,ctranspath,0.918496488236069,0.5894404436223568
resnet50,gigapath,0.6750834441400952,0.308608344257707
resnet50,keep,0.7516719259137067,0.32625609353353235
resnet50,uni_v2,0.6545148818253775,0.2983826226502284
uni_v2,conch_v1,0.8827849436386521,0.6269823855898522
uni_v2,ctranspath,0.9191000320845517,0.5886595816359845
uni_v2,gigapath,0.7232313350051223,0.4022933162779647
uni_v2,keep,0.8165775931980427,0.48600625751107884
uni_v2,resnet50,0.9523665478337372,0.47932985738797185
