query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.853,0.9785,0.9925,0.9100750325500325,1.0,2000.0
ctranspath,conch_v1,0.8555,0.9765,0.991,0.9102421132060364,1.0,2000.0
conch_v1,gigapath,0.8165,0.9665,0.981,0.882196922430715,1.0,2000.0
gigapath,conch_v1,0.78,0.951,0.977,0.8564300643586068,1.0,2000.0
conch_v1,keep,0.781,0.954,0.9765,0.8577104225469218,1.0,2000.0
keep,conch_v1,0.7645,0.954,0.978,0.846633347571825,1.0,2000.0
conch_v1,resnet50,0.6035,0.8895,0.941,0.7260077429967043,1.0,2000.0
resnet50,conch_v1,0.562,0.8605,0.9265,0.6936120795324269,1.0,2000.0
conch_v1,uni_v2,0.834,0.9735,0.9905,0.8953817259370549,1.0,2000.0
uni_v2,conch_v1,0.7715,0.957,0.986,0.8525744776478531,1.0,2000.0
ctranspath,gigapath,0.888,0.9785,0.988,0.9266011806676614,1.0,2000.0
gigapath,ctranspath,0.8565,0.9695,0.988,0.9081134902649866,1.0,2000.0
ctranspath,keep,0.812,0.9625,0.985,0.8794930284323484,1.0,2000.0
keep,ctranspath,0.789,0.9635,0.988,0.8658042659348191,1.0,2000.0
ctranspath,resnet50,0.8695,0.98,0.993,0.9171018549145172,1.0,2000.0
resnet50,ctranspath,0.8505,0.9665,0.9835,0.9004915230310919,1.0,2000.0
ctranspath,uni_v2,0.882,0.9925,0.998,0.9290923375459667,1.0,2000.0
uni_v2,ctranspath,0.8225,0.98,0.995,0.8906801617020154,1.0,2000.0
gigapath,keep,0.764,0.9425,0.9705,0.8435670821841472,1.0,2000.0
keep,gigapath,0.7775,0.9535,0.981,0.8532761305231953,1.0,2000.0
gigapath,resnet50,0.658,0.9205,0.958,0.7734345022242394,1.0,2000.0
resnet50,gigapath,0.644,0.9055,0.958,0.7582604123018855,1.0,2000.0
gigapath,uni_v2,0.907,0.9825,0.9905,0.9411887205342371,1.0,2000.0
uni_v2,gigapath,0.8955,0.98,0.994,0.9334074849175285,1.0,2000.0
keep,resnet50,0.4835,0.8,0.888,0.6231962715686086,2.0,2000.0
resnet50,keep,0.476,0.7955,0.8775,0.6143125881810988,2.0,2000.0
keep,uni_v2,0.8445,0.98,0.9935,0.9051489821814063,1.0,2000.0
uni_v2,keep,0.804,0.9685,0.988,0.8774875800040637,1.0,2000.0
resnet50,uni_v2,0.553,0.861,0.929,0.6873552839624201,1.0,2000.0
uni_v2,resnet50,0.5665,0.8685,0.94,0.6984817498818183,1.0,2000.0
