source,target,cosine,r2
conch_v1,ctranspath,0.8586744820561636,0.29407534034117244
conch_v1,gigapath,0.6044519937775658,0.16333027384865018
conch_v1,keep,0.7526152074603023,0.30140741483764855
conch_v1,resnet50,0.9174559490328181,0.09873169410561677
conch_v1,uni_v2,0.6099697084968232,0.1990651743006241
ctranspath,conch_v1,0.7846653959995276,0.2856270527614707
ctranspath,gigapath,0.6489322231263135,0.24164818368386187
ctranspath,keep,0.7148050613631061,0.16569123756816473
ctranspath,resnet50,0.9362800529831166,0.29727856546640175
ctranspath,uni_v2,0.6291012898872419,0.22391586368627148
gigapath,conch_v1,0.7687357831975575,0.25057590578027467
gigapath,ctranspath,0.8770694402370102,0.38146062005956705
gigapath,keep,0.7185498183746439,0.19464533655612382
gigapath,resnet50,0.9160238197519952,0.07448478488364296
gigapath,uni_v2,0.6605817899587357,0.30021751335937774
keep,conch_v1,0.8036021138395405,0.3857631390591416
keep,ctranspath,0.8485680131970313,0.24911901212336984
keep,gigapath,0.6030687022853034,0.16977658507377735
keep,resnet50,0.9054416869000208,-0.022009540300682806
keep,uni_v2,0.6198932428346234,0.22784506713318453
resnet50,conch_v1,0.7488100810895217,0.22762738607019517
resnet50,ctranspath,0.8791417976145189,0.3953370476194512
resnet50,gigapath,0.5874803950215367,0.13870227056913997
resnet50,keep,0.6613909722450815,0.066790305089243
resnet50,uni_v2,0.560181626297344,0.11562853068271095
uni_v2,conch_v1,0.7916774410813914,0.30292312818908973
uni_v2,ctranspath,0.8720774202409385,0.3448223586041623
uni_v2,gigapath,0.6732433317985711,0.293941403170358
uni_v2,keep,0.7523632094844733,0.2763324155336835
uni_v2,resnet50,0.911678303444321,0.012034508600719529
