query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.421,0.723,0.8405,0.558093079634171,2.0,2000.0
ctranspath,conch_v1,0.5115,0.8285,0.9025,0.6503480335936872,1.0,2000.0
conch_v1,gigapath,0.3895,0.705,0.8185,0.5301152276487112,2.0,2000.0
gigapath,conch_v1,0.372,0.6975,0.8175,0.5196837169981837,2.0,2000.0
conch_v1,keep,0.476,0.779,0.8615,0.6092243502995075,2.0,2000.0
keep,conch_v1,0.465,0.7645,0.853,0.598696956907767,2.0,2000.0
conch_v1,resnet50,0.1725,0.4245,0.555,0.29534587503190374,8.0,2000.0
resnet50,conch_v1,0.1485,0.371,0.484,0.25931548688417044,11.0,2000.0
conch_v1,uni_v2,0.444,0.767,0.871,0.5866259190504457,2.0,2000.0
uni_v2,conch_v1,0.391,0.7075,0.818,0.5338356928795697,2.0,2000.0
ctranspath,gigapath,0.688,0.909,0.954,0.785745024479253,1.0,2000.0
gigapath,ctranspath,0.6365,0.8915,0.937,0.7475511726219186,1.0,2000.0
ctranspath,keep,0.4625,0.767,0.8685,0.5954410452990414,2.0,2000.0
keep,ctranspath,0.347,0.665,0.791,0.4912030947917498,3.0,2000.0
ctranspath,resnet50,0.736,0.935,0.963,0.8209108454975108,1.0,2000.0
resnet50,ctranspath,0.6475,0.8345,0.8805,0.7318657321881826,1.0,2000.0
ctranspath,uni_v2,0.6465,0.908,0.95,0.760102641065349,1.0,2000.0
uni_v2,ctranspath,0.491,0.806,0.8965,0.6291710954208352,2.0,2000.0
gigapath,keep,0.3715,0.6965,0.799,0.517352284242791,2.0,2000.0
keep,gigapath,0.3555,0.665,0.78,0.49884618197429437,3.0,2000.0
gigapath,resnet50,0.273,0.5755,0.7215,0.4138845839544406,4.0,2000.0
resnet50,gigapath,0.2765,0.5385,0.662,0.4051883828012671,4.0,2000.0
gigapath,uni_v2,0.684,0.9095,0.9465,0.782921502363765,1.0,2000.0
uni_v2,gigapath,0.612,0.8755,0.938,0.7295096019156344,1.0,2000.0
keep,resnet50,0.111,0.305,0.43,0.2154873405409514,15.0,2000.0
resnet50,keep,0.1205,0.3085,0.426,0.22089178413453903,15.0,2000.0
keep,uni_v2,0.4755,0.7905,0.8805,0.6129273155908346,2.0,2000.0
uni_v2,keep,0.4285,0.7525,0.8515,0.5701805492600746,2.0,2000.0
resnet50,uni_v2,0.1975,0.455,0.5825,0.3220087687885181,7.0,2000.0
uni_v2,resnet50,0.178,0.4465,0.586,0.3086223081072383,7.0,2000.0
