group,metric,factor,delta,n_same,n_diff,mean_same,mean_diff
"CPTAC 10x/256px (flagship, 6 enc)",linear_cka,objective,0.1384646027022699,4,11,0.7130981779401553,0.5746335752378854
"CPTAC 10x/256px (flagship, 6 enc)",linear_cka,architecture (backbone),0.13435871050064208,6,9,0.6921726955922093,0.5578139850915672
"CPTAC 10x/256px (flagship, 6 enc)",linear_cka,architecture (exact),nan,0,15,nan,nan
"CPTAC 10x/256px (flagship, 6 enc)",kernel_cka,objective,0.1330167870313398,4,11,0.7354348039100946,0.6024180168787548
"CPTAC 10x/256px (flagship, 6 enc)",kernel_cka,architecture (backbone),0.12430146791764118,6,9,0.7124700408376968,0.5881685729200556
"CPTAC 10x/256px (flagship, 6 enc)",kernel_cka,architecture (exact),nan,0,15,nan,nan
"CPTAC 10x/256px (flagship, 6 enc)",svcca,objective,0.04221240417491312,4,11,0.5967742673937719,0.5545618632188588
"CPTAC 10x/256px (flagship, 6 enc)",svcca,architecture (backbone),0.10709143304137925,6,9,0.6300733641569966,0.5229819311156173
"CPTAC 10x/256px (flagship, 6 enc)",svcca,architecture (exact),nan,0,15,nan,nan
"CPTAC 10x/256px (flagship, 6 enc)",pwcca,objective,0.02995859969943826,4,11,0.659400597255735,0.6294419975562967
"CPTAC 10x/256px (flagship, 6 enc)",pwcca,architecture (backbone),0.06239994030006579,6,9,0.6748709216561863,0.6124709813561205
"CPTAC 10x/256px (flagship, 6 enc)",pwcca,architecture (exact),nan,0,15,nan,nan
"CPTAC 10x/256px (flagship, 6 enc)",procrustes,objective,0.07335700456091332,4,11,0.6663192974550511,0.5929622928941378
"CPTAC 10x/256px (flagship, 6 enc)",procrustes,architecture (backbone),0.014709430565326587,6,9,0.6213498191162441,0.6066403885509175
"CPTAC 10x/256px (flagship, 6 enc)",procrustes,architecture (exact),nan,0,15,nan,nan
"CPTAC 10x/256px (flagship, 6 enc)",cosine_rsa,objective,0.11813808100646517,4,11,0.664153086730632,0.5460150057241668
"CPTAC 10x/256px (flagship, 6 enc)",cosine_rsa,architecture (backbone),0.1166764365670081,6,9,0.6475243559327624,0.5308479193657543
"CPTAC 10x/256px (flagship, 6 enc)",cosine_rsa,architecture (exact),nan,0,15,nan,nan
"CPTAC 10x/256px (flagship, 6 enc)",distance_correlation,objective,0.08459282143214852,4,11,0.8581784792413499,0.7735856578092014
"CPTAC 10x/256px (flagship, 6 enc)",distance_correlation,architecture (backbone),0.08094796322481002,6,9,0.8447125214593271,0.763764558234517
"CPTAC 10x/256px (flagship, 6 enc)",distance_correlation,architecture (exact),nan,0,15,nan,nan
cptac_10x_224,linear_cka,objective,nan,3,0,nan,nan
cptac_10x_224,linear_cka,architecture (backbone),nan,3,0,nan,nan
cptac_10x_224,linear_cka,architecture (exact),nan,0,3,nan,nan
cptac_10x_224,kernel_cka,objective,nan,3,0,nan,nan
cptac_10x_224,kernel_cka,architecture (backbone),nan,3,0,nan,nan
cptac_10x_224,kernel_cka,architecture (exact),nan,0,3,nan,nan
cptac_10x_224,svcca,objective,nan,3,0,nan,nan
cptac_10x_224,svcca,architecture (backbone),nan,3,0,nan,nan
cptac_10x_224,svcca,architecture (exact),nan,0,3,nan,nan
cptac_10x_224,pwcca,objective,nan,3,0,nan,nan
cptac_10x_224,pwcca,architecture (backbone),nan,3,0,nan,nan
cptac_10x_224,pwcca,architecture (exact),nan,0,3,nan,nan
cptac_10x_224,procrustes,objective,nan,3,0,nan,nan
cptac_10x_224,procrustes,architecture (backbone),nan,3,0,nan,nan
cptac_10x_224,procrustes,architecture (exact),nan,0,3,nan,nan
cptac_10x_224,cosine_rsa,objective,nan,3,0,nan,nan
cptac_10x_224,cosine_rsa,architecture (backbone),nan,3,0,nan,nan
cptac_10x_224,cosine_rsa,architecture (exact),nan,0,3,nan,nan
cptac_10x_224,distance_correlation,objective,nan,3,0,nan,nan
cptac_10x_224,distance_correlation,architecture (backbone),nan,3,0,nan,nan
cptac_10x_224,distance_correlation,architecture (exact),nan,0,3,nan,nan
cptac_10x_512,linear_cka,objective,nan,1,0,nan,nan
cptac_10x_512,linear_cka,architecture (backbone),nan,1,0,nan,nan
cptac_10x_512,linear_cka,architecture (exact),nan,0,1,nan,nan
cptac_10x_512,kernel_cka,objective,nan,1,0,nan,nan
cptac_10x_512,kernel_cka,architecture (backbone),nan,1,0,nan,nan
cptac_10x_512,kernel_cka,architecture (exact),nan,0,1,nan,nan
cptac_10x_512,svcca,objective,nan,1,0,nan,nan
cptac_10x_512,svcca,architecture (backbone),nan,1,0,nan,nan
cptac_10x_512,svcca,architecture (exact),nan,0,1,nan,nan
cptac_10x_512,pwcca,objective,nan,1,0,nan,nan
cptac_10x_512,pwcca,architecture (backbone),nan,1,0,nan,nan
