magnification,metric,model_a,model_b,pair,similarity
5.0,linear_cka,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6477334914328637
5.0,linear_cka,CTransPath,KEEP,CTransPath~KEEP,0.5901358182012904
5.0,linear_cka,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6519632683450223
5.0,linear_cka,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6708022590692538
5.0,linear_cka,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5327530595110065
5.0,linear_cka,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.6236447176727761
5.0,linear_cka,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.6718399567900355
5.0,linear_cka,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.41457844321915543
5.0,linear_cka,KEEP,UNI2-h,KEEP~UNI2-h,0.7699697114367642
5.0,linear_cka,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.460576385870112
5.0,kernel_cka,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6911402527892617
5.0,kernel_cka,CTransPath,KEEP,CTransPath~KEEP,0.6095360111159126
5.0,kernel_cka,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.7150410385667514
5.0,kernel_cka,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6958419436930957
5.0,kernel_cka,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5543059156311224
5.0,kernel_cka,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.6250411594100848
5.0,kernel_cka,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.6955417322869185
5.0,kernel_cka,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.4249112454931051
5.0,kernel_cka,KEEP,UNI2-h,KEEP~UNI2-h,0.7879201099341063
5.0,kernel_cka,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.48126791249425965
5.0,svcca,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6534608100055411
5.0,svcca,CTransPath,KEEP,CTransPath~KEEP,0.45042314979408143
5.0,svcca,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.48563349928371624
5.0,svcca,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6623300444324012
5.0,svcca,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5681777272541856
5.0,svcca,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.48449054971886973
5.0,svcca,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.49882928469707283
5.0,svcca,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.3724012694828071
5.0,svcca,KEEP,UNI2-h,KEEP~UNI2-h,0.6174897739706243
5.0,svcca,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.49504211664615794
5.0,pwcca,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.7189111099265273
5.0,pwcca,CTransPath,KEEP,CTransPath~KEEP,0.5637843952449786
5.0,pwcca,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6137377753352189
5.0,pwcca,CTransPath,UNI2-h,CTransPath~UNI2-h,0.7035771086693381
5.0,pwcca,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.6639177658633681
5.0,pwcca,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.6010611968062596
5.0,pwcca,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.6048141660009886
5.0,pwcca,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.5224227037894384
5.0,pwcca,KEEP,UNI2-h,KEEP~UNI2-h,0.68412657461109
5.0,pwcca,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.5801237340521526
5.0,procrustes,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6902467484625928
5.0,procrustes,CTransPath,KEEP,CTransPath~KEEP,0.6379847877438493
5.0,procrustes,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.7105350811253923
5.0,procrustes,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6500186945903467
5.0,procrustes,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5979073633849065
5.0,procrustes,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.6018996384356865
5.0,procrustes,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.6846554258476114
5.0,procrustes,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.5233669864415446
5.0,procrustes,KEEP,UNI2-h,KEEP~UNI2-h,0.6404235411082646
5.0,procrustes,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.5254135091259473
5.0,cosine_rsa,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6472272366511931
5.0,cosine_rsa,CTransPath,KEEP,CTransPath~KEEP,0.5448390032389686
5.0,cosine_rsa,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.7084183217161047
5.0,cosine_rsa,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6288719554764636
5.0,cosine_rsa,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.4943258026796071
5.0,cosine_rsa,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.5630245226095855
5.0,cosine_rsa,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.644573105937072
5.0,cosine_rsa,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.399176546537758
5.0,cosine_rsa,KEEP,UNI2-h,KEEP~UNI2-h,0.7260230291156061
5.0,cosine_rsa,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.43458269631070856
5.0,distance_correlation,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.8346131163269329
5.0,distance_correlation,CTransPath,KEEP,CTransPath~KEEP,0.7807058404517152
5.0,distance_correlation,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.8487341156792618
5.0,distance_correlation,CTransPath,UNI2-h,CTransPath~UNI2-h,0.83500672612746
5.0,distance_correlation,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.7459048679389165
5.0,distance_correlation,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.7901946547241393
5.0,distance_correlation,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.8356478279912726
5.0,distance_correlation,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.6490056451679084
5.0,distance_correlation,KEEP,UNI2-h,KEEP~UNI2-h,0.8892103888088934
5.0,distance_correlation,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.6937790004718829
10.0,linear_cka,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6709377920218786
10.0,linear_cka,CTransPath,KEEP,CTransPath~KEEP,0.5791303124464086
10.0,linear_cka,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.5956214931233683
10.0,linear_cka,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6382111639667915
10.0,linear_cka,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5888218193889888
10.0,linear_cka,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.4500705964012026
10.0,linear_cka,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.7541568496407043
10.0,linear_cka,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.39279489796833505
