condition,query,database,same_model,recall@1,recall@5,recall@10,map,mrr,median_rank,ndcg,n_query,n_database
unaligned_pca,conch_v1,conch_v1,True,0.7656,0.72572,0.7059200000000001,0.5559457157363014,0.8558235436187933,1.0,0.9172600669305658,5000.0,5000.0
unaligned_pca,conch_v1,ctranspath,False,0.521,0.51584,0.51544,0.5146932684705531,0.6707718731052115,1.0,0.9035187238774882,5000.0,5000.0
unaligned_pca,conch_v1,gigapath,False,0.4844,0.48663999999999996,0.48726,0.5068037656924431,0.6456794090033758,2.0,0.9004466470864824,5000.0,5000.0
unaligned_pca,conch_v1,keep,False,0.527,0.5235200000000001,0.51922,0.516824676514681,0.6753734249217227,1.0,0.9025452101239599,5000.0,5000.0
unaligned_pca,conch_v1,resnet50,False,0.5138,0.50544,0.5102,0.5128930850547658,0.6835707490888921,1.0,0.9034190234484977,5000.0,5000.0
unaligned_pca,conch_v1,uni_v2,False,0.5214,0.51612,0.5169799999999999,0.5245636854975386,0.6627011581538315,1.0,0.9041575216803666,5000.0,5000.0
unaligned_pca,ctranspath,conch_v1,False,0.5076,0.5059600000000001,0.5049800000000001,0.5174281537184923,0.6669737592573906,1.0,0.903196295026577,5000.0,5000.0
unaligned_pca,ctranspath,ctranspath,True,0.7778,0.72044,0.68924,0.5362854018494788,0.8644014992784993,1.0,0.9125384750468744,5000.0,5000.0
unaligned_pca,ctranspath,gigapath,False,0.503,0.50072,0.5012800000000001,0.5119518453399087,0.6636316894147752,1.0,0.9024078364248821,5000.0,5000.0
unaligned_pca,ctranspath,keep,False,0.4588,0.4662,0.46958,0.5030206062691168,0.6215165084458647,2.0,0.8976445256812305,5000.0,5000.0
unaligned_pca,ctranspath,resnet50,False,0.523,0.5212399999999999,0.5236799999999999,0.517927443051838,0.6935798090353955,1.0,0.904955212816351,5000.0,5000.0
unaligned_pca,ctranspath,uni_v2,False,0.4706,0.4872,0.49226000000000003,0.5180299357204167,0.6223250094387236,2.0,0.9019079930531135,5000.0,5000.0
unaligned_pca,gigapath,conch_v1,False,0.4874,0.48483999999999994,0.4853,0.5087604408207129,0.6488492053027562,2.0,0.9006731684139029,5000.0,5000.0
unaligned_pca,gigapath,ctranspath,False,0.5022,0.50564,0.50818,0.5102321045982972,0.6659243138960002,1.0,0.9024448816842123,5000.0,5000.0
unaligned_pca,gigapath,gigapath,True,0.8238,0.76112,0.7268600000000001,0.5442163019372761,0.8918147591297592,1.0,0.9152052364433726,5000.0,5000.0
unaligned_pca,gigapath,keep,False,0.5128,0.529,0.5284399999999999,0.5219409172415113,0.6686213135977006,1.0,0.9045775412059948,5000.0,5000.0
unaligned_pca,gigapath,resnet50,False,0.4862,0.48824000000000006,0.49145999999999995,0.5062115201111376,0.6666814560214809,2.0,0.9012830829196588,5000.0,5000.0
unaligned_pca,gigapath,uni_v2,False,0.4764,0.4752799999999999,0.47603999999999996,0.5054616010434869,0.6236051062378656,2.0,0.8979872682802341,5000.0,5000.0
unaligned_pca,keep,conch_v1,False,0.508,0.52004,0.52212,0.5134516681457818,0.6687588911932969,1.0,0.9026579978444071,5000.0,5000.0
unaligned_pca,keep,ctranspath,False,0.474,0.4687200000000001,0.47242,0.4954946440566226,0.6363626980956069,2.0,0.8977032702731068,5000.0,5000.0
unaligned_pca,keep,gigapath,False,0.519,0.5158,0.51464,0.5166276231494521,0.6813102190693779,1.0,0.903978013352782,5000.0,5000.0
unaligned_pca,keep,keep,True,0.7928,0.7432,0.72012,0.5667681216411438,0.8717140797884604,1.0,0.9193947333765329,5000.0,5000.0
unaligned_pca,keep,resnet50,False,0.4894,0.49163999999999997,0.48994,0.4948498017072285,0.6673110051502904,2.0,0.8980968718797936,5000.0,5000.0
unaligned_pca,keep,uni_v2,False,0.441,0.43076000000000003,0.43532,0.48618424170060187,0.5995743650164486,2.0,0.8921458543140103,5000.0,5000.0
unaligned_pca,resnet50,conch_v1,False,0.5254,0.5252800000000001,0.5205,0.5166378818732859,0.6900235955923674,1.0,0.9036360653926875,5000.0,5000.0
unaligned_pca,resnet50,ctranspath,False,0.5438,0.5314800000000001,0.53066,0.5184687278819982,0.7018975884419129,1.0,0.9050333763803432,5000.0,5000.0
unaligned_pca,resnet50,gigapath,False,0.4964,0.5012,0.4984,0.5085198512864514,0.6623490038211864,2.0,0.901480397723866,5000.0,5000.0
unaligned_pca,resnet50,keep,False,0.4718,0.47667999999999994,0.47548,0.5038562763927699,0.6343431827248914,2.0,0.8978095397960846,5000.0,5000.0
unaligned_pca,resnet50,resnet50,True,0.7046,0.6516,0.6256200000000001,0.5237456889020932,0.8211788252390885,1.0,0.908289006687536,5000.0,5000.0
unaligned_pca,resnet50,uni_v2,False,0.5468,0.5393600000000001,0.53864,0.5340957585496559,0.6846307044190441,1.0,0.9066178028836248,5000.0,5000.0
unaligned_pca,uni_v2,conch_v1,False,0.5424,0.53288,0.52576,0.5180790681443823,0.6901537886575831,1.0,0.9037512763489703,5000.0,5000.0
unaligned_pca,uni_v2,ctranspath,False,0.4942,0.49015999999999993,0.4929200000000001,0.5091109812009378,0.6620832996146164,2.0,0.9019922456021897,5000.0,5000.0
unaligned_pca,uni_v2,gigapath,False,0.4834,0.4918,0.48851999999999995,0.49707535798954977,0.6513782833238487,2.0,0.8982505479444631,5000.0,5000.0
unaligned_pca,uni_v2,keep,False,0.4312,0.4264799999999999,0.428,0.4863050469007727,0.5843733426056766,2.0,0.8917643907988521,5000.0,5000.0
unaligned_pca,uni_v2,resnet50,False,0.5236,0.5227200000000001,0.52366,0.5199385187723375,0.6986135141249546,1.0,0.9055962143811388,5000.0,5000.0
unaligned_pca,uni_v2,uni_v2,True,0.8344,0.78012,0.7478,0.5736770714153988,0.8973337979630065,1.0,0.9213104016254141,5000.0,5000.0
unaligned_truncate,conch_v1,conch_v1,True,0.7534,0.7197600000000001,0.7037200000000001,0.5560895437314791,0.8485245366532781,1.0,0.917189176467545,5000.0,5000.0
unaligned_truncate,conch_v1,ctranspath,False,0.5032,0.4928,0.49102000000000007,0.5022076555132151,0.6716354547961769,1.0,0.8998214515454017,5000.0,5000.0
unaligned_truncate,conch_v1,gigapath,False,0.5064,0.49543999999999994,0.49322000000000005,0.50313372427682,0.6856968567220699,1.0,0.9009197866928633,5000.0,5000.0
unaligned_truncate,conch_v1,keep,False,0.4584,0.46108000000000005,0.4618799999999999,0.49608227510107283,0.6321789687058333,2.0,0.8970523628136685,5000.0,5000.0
unaligned_truncate,conch_v1,resnet50,False,0.4978,0.5012800000000001,0.49783999999999995,0.5026224125874584,0.6804640163225147,2.0,0.900958451520587,5000.0,5000.0
unaligned_truncate,conch_v1,uni_v2,False,0.521,0.5098799999999999,0.5102800000000001,0.5093036815859616,0.6904056813525568,1.0,0.902176605806412,5000.0,5000.0
unaligned_truncate,ctranspath,conch_v1,False,0.4872,0.49004000000000003,0.49165999999999993,0.5036194194767832,0.6597224228559356,2.0,0.899760620527546,5000.0,5000.0
unaligned_truncate,ctranspath,ctranspath,True,0.759,0.70468,0.6766399999999999,0.5395976053750954,0.8521218601749293,1.0,0.9127111634477324,5000.0,5000.0
unaligned_truncate,ctranspath,gigapath,False,0.5198,0.5166,0.5172399999999999,0.5118456665703836,0.6987852526243965,1.0,0.9036614854767347,5000.0,5000.0
unaligned_truncate,ctranspath,keep,False,0.5004,0.50424,0.5078799999999999,0.5134227582402952,0.6707562774648148,1.0,0.9027121254142451,5000.0,5000.0
unaligned_truncate,ctranspath,resnet50,False,0.4916,0.4968,0.50036,0.5064237489259804,0.6777862274567539,2.0,0.9018796050465863,5000.0,5000.0
unaligned_truncate,ctranspath,uni_v2,False,0.502,0.49804,0.49715999999999994,0.5038179734195178,0.6787428064880185,1.0,0.9005168276660984,5000.0,5000.0
unaligned_truncate,gigapath,conch_v1,False,0.502,0.50216,0.5019,0.5066601206691173,0.6690940201913228,1.0,0.9011225604948752,5000.0,5000.0
unaligned_truncate,gigapath,ctranspath,False,0.5182,0.51172,0.5160199999999999,0.5137651446472082,0.6899055705051843,1.0,0.903623131705816,5000.0,5000.0
unaligned_truncate,gigapath,gigapath,True,0.7722,0.71148,0.67718,0.5295509062900031,0.86297145021645,1.0,0.9108869183438466,5000.0,5000.0
unaligned_truncate,gigapath,keep,False,0.4884,0.49415999999999993,0.49573999999999996,0.507711023262485,0.6603928390633428,2.0,0.9009283719072905,5000.0,5000.0
unaligned_truncate,gigapath,resnet50,False,0.4768,0.49,0.4913,0.5029555822696856,0.668456279357897,2.0,0.9007123822886588,5000.0,5000.0
unaligned_truncate,gigapath,uni_v2,False,0.5344,0.5189600000000001,0.51478,0.5114787290741075,0.6997351690930141,1.0,0.9029532137558117,5000.0,5000.0
unaligned_truncate,keep,conch_v1,False,0.4698,0.47456000000000004,0.4734799999999999,0.49652257935345606,0.6418252120318695,2.0,0.8974678471841143,5000.0,5000.0
unaligned_truncate,keep,ctranspath,False,0.5062,0.50892,0.5123,0.5114366398555679,0.6819597476876252,1.0,0.9028989131330271,5000.0,5000.0
unaligned_truncate,keep,gigapath,False,0.5096,0.50936,0.50392,0.5040845536892339,0.6872317450970082,1.0,0.9012726605857057,5000.0,5000.0
unaligned_truncate,keep,keep,True,0.7778,0.728,0.7038800000000001,0.5602313260373413,0.8634626766652025,1.0,0.9177101274236272,5000.0,5000.0
unaligned_truncate,keep,resnet50,False,0.5056,0.50752,0.51018,0.5067417203583972,0.6881408024165376,1.0,0.9023167289953999,5000.0,5000.0
unaligned_truncate,keep,uni_v2,False,0.5038,0.50152,0.5031399999999999,0.5065818644905874,0.6792006159316514,1.0,0.9014590615321176,5000.0,5000.0
unaligned_truncate,resnet50,conch_v1,False,0.4788,0.4876,0.49216000000000004,0.5053175777336172,0.6566623262543051,2.0,0.9008557188030343,5000.0,5000.0
unaligned_truncate,resnet50,ctranspath,False,0.5114,0.51108,0.5063,0.5072653485784259,0.6888068612553597,1.0,0.9021366278151128,5000.0,5000.0
unaligned_truncate,resnet50,gigapath,False,0.4982,0.49976000000000004,0.49922000000000005,0.5025747984975238,0.6795142037139436,2.0,0.9007984726460365,5000.0,5000.0
unaligned_truncate,resnet50,keep,False,0.5096,0.5038400000000001,0.5045599999999999,0.5085383728353964,0.6856965123670354,1.0,0.9022182349460598,5000.0,5000.0
unaligned_truncate,resnet50,resnet50,True,0.594,0.5752,0.5653,0.5185758981857816,0.7503695501514309,1.0,0.9061132746507197,5000.0,5000.0
unaligned_truncate,resnet50,uni_v2,False,0.515,0.51444,0.51568,0.5123151022740949,0.6847984931280202,1.0,0.903282290087475,5000.0,5000.0
unaligned_truncate,uni_v2,conch_v1,False,0.495,0.50004,0.50192,0.5121686906632412,0.6639985322914516,2.0,0.9020997786434269,5000.0,5000.0
