model_a,model_b,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
CONCH,CTransPath,0.6708755366145686,0.7027324622883846,0.6155355395629916,0.6456008338484367,0.6597152535362714,0.6549757280479694,0.8411149910950119
CONCH,Prov-GigaPath,0.6125747870531275,0.6348470140005125,0.7234802821935051,0.7223835788716961,0.5489075842432765,0.5562337088158396,0.799109356694676
CONCH,KEEP,0.7431776217580499,0.7643453239444707,0.6048195412771789,0.6290456593641909,0.6749344476095395,0.7275519946384728,0.8761585951838746
CONCH,ResNet50 (ImageNet),0.5640089825740046,0.5832780158718083,0.533733246376116,0.5952463023355528,0.594559494990708,0.5511799224106552,0.7622648915989008
CONCH,UNI2-h,0.6812562353039027,0.714036765648593,0.7455419237928012,0.7312949335680861,0.5747437848072433,0.6567864624460296,0.8486859729080841
CTransPath,Prov-GigaPath,0.6798426838748609,0.7036348843666044,0.6334232146518751,0.6985870024315487,0.6508195431989824,0.6132217870053724,0.839569517648953
CTransPath,KEEP,0.6108065324285699,0.6353700385895987,0.43649055490745386,0.5593594082997382,0.638167498076083,0.5621703694616693,0.7978669904874636
CTransPath,ResNet50 (ImageNet),0.5937691568220272,0.6542387992393511,0.47736457859285386,0.6118490207284353,0.695361962476704,0.6490056663874946,0.8110537961945566
CTransPath,UNI2-h,0.6628420864131617,0.6930381080289758,0.6490677545347573,0.6978882802416506,0.6392388117840667,0.6128260652486818,0.8336277181639694
Prov-GigaPath,KEEP,0.6014584671775768,0.615196430917404,0.5848401215904291,0.6674169247903396,0.5938363689060114,0.5322342770371647,0.7844756921919728
Prov-GigaPath,ResNet50 (ImageNet),0.454214123773919,0.4886736996261235,0.4892355156252403,0.5951133107247533,0.5381205754905872,0.4097539108326628,0.6995364263638222
Prov-GigaPath,UNI2-h,0.7665303197145487,0.7807208993003277,0.4997865591112763,0.6120814469855498,0.7002843872276161,0.703012500030001,0.8833580859686029
KEEP,ResNet50 (ImageNet),0.38618265273301206,0.4033179058910897,0.37402896774978917,0.5244637774388361,0.5244264655323977,0.3801073766477026,0.6326268415772935
KEEP,UNI2-h,0.7480387425460506,0.7656738112148722,0.6219717569767891,0.687002986357256,0.6353923419037779,0.7093271926290666,0.8764874258087516
ResNet50 (ImageNet),UNI2-h,0.39778411058998053,0.4292332423785648,0.4979580080394788,0.5841308961561341,0.5193538918724571,0.344390448249581,0.6562198509806834
