source,target,self,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
conch_v1,ctranspath,False,0.8835621741579613,0.42277475522576324,0.5772252447742368,0.4126,0.7062,0.8096,0.5447262135828734,0.5447262135828734,2.0,0.6417914361957536,5000.0,5000.0
conch_v1,gigapath,False,0.6344084543648825,0.22527229533978121,0.7747277046602188,0.1744,0.4104,0.528,0.2890142813117577,0.2890142813117577,9.0,0.42228375123481965,5000.0,5000.0
conch_v1,keep,False,0.7733894755822035,0.3711449182315355,0.6288550817684645,0.3072,0.583,0.6958,0.4364657472869781,0.4364657472869781,4.0,0.5499916191204824,5000.0,5000.0
conch_v1,resnet50,False,0.9480207428774714,0.43938569037451924,0.5606143096254808,0.1528,0.3784,0.492,0.26563938401929554,0.26563938401929554,11.0,0.40256338705463357,5000.0,5000.0
conch_v1,uni_v2,False,0.6404113431114711,0.2675655112945786,0.7324344887054214,0.1712,0.3938,0.5228,0.2831143534802647,0.2831143534802647,9.0,0.4185695849350434,5000.0,5000.0
ctranspath,conch_v1,False,0.851749329182457,0.5430452677183129,0.4569547322816871,0.3692,0.6604,0.7688,0.5019288499366213,0.5019288499366213,3.0,0.6062403951615629,5000.0,5000.0
ctranspath,gigapath,False,0.6718671859381822,0.29955124663657084,0.7004487533634292,0.3064,0.5672,0.6764,0.42865800075648114,0.42865800075648114,4.0,0.5418741648008334,5000.0,5000.0
ctranspath,keep,False,0.7644287018502054,0.34774360834469586,0.6522563916553041,0.275,0.5376,0.6506,0.3981263533369711,0.3981263533369711,5.0,0.5167612994400032,5000.0,5000.0
ctranspath,resnet50,False,0.9653583757008449,0.6265481925354892,0.37345180746451084,0.6332,0.8504,0.905,0.7304903406174486,0.7304903406174486,1.0,0.7897155242448629,5000.0,5000.0
ctranspath,uni_v2,False,0.6647056206991013,0.31357644881425495,0.686423551185745,0.2484,0.5088,0.6332,0.3721404337807479,0.3721404337807479,5.0,0.4953944243888036,5000.0,5000.0
gigapath,conch_v1,False,0.8679668648364042,0.600945147952509,0.399054852047491,0.3824,0.6706,0.7712,0.512376295015431,0.512376295015431,2.0,0.6143938207180201,5000.0,5000.0
gigapath,ctranspath,False,0.9157329032443158,0.58292396738548,0.4170760326145199,0.6062,0.8462,0.8994,0.7127226527157212,0.7127226527157212,1.0,0.7762328624490631,5000.0,5000.0
gigapath,keep,False,0.7892924640333563,0.43214805841706927,0.5678519415829307,0.29,0.5578,0.671,0.4163071110407298,0.4163071110407298,4.0,0.5324990269732738,5000.0,5000.0
gigapath,resnet50,False,0.96161237397426,0.5870733913621813,0.4129266086378187,0.317,0.5994,0.7136,0.44750423515877463,0.44750423515877463,3.0,0.5598564021207953,5000.0,5000.0
gigapath,uni_v2,False,0.6972312330299509,0.38655723400132913,0.6134427659986709,0.277,0.5494,0.6768,0.40717064490183086,0.40717064490183086,4.0,0.5258987653182854,5000.0,5000.0
keep,conch_v1,False,0.8579846782119016,0.5663120866583287,0.4336879133416713,0.4154,0.7008,0.7996,0.5446945185464884,0.5446945185464884,2.0,0.6411988739345402,5000.0,5000.0
keep,ctranspath,False,0.8860363723352375,0.4376828074232587,0.5623171925767413,0.419,0.7088,0.8094,0.5498976941474258,0.5498976941474258,2.0,0.6461294906612012,5000.0,5000.0
keep,gigapath,False,0.6430680540420711,0.2504488088799186,0.7495511911200814,0.181,0.4092,0.5256,0.29240423561524737,0.29240423561524737,9.0,0.4244907322281919,5000.0,5000.0
keep,resnet50,False,0.9474610844770529,0.4382195735084691,0.5617804264915309,0.1384,0.3438,0.4666,0.24224393723170906,0.24224393723170906,13.0,0.3802521730284936,5000.0,5000.0
keep,uni_v2,False,0.6538101900708454,0.29910023384023643,0.7008997661597636,0.179,0.4158,0.5328,0.297369582491429,0.297369582491429,8.0,0.4311337370078125,5000.0,5000.0
resnet50,conch_v1,False,0.8147542621060885,0.4455370826474858,0.5544629173525142,0.1418,0.3362,0.4612,0.2439495325034242,0.2439495325034242,13.0,0.38146942488387076,5000.0,5000.0
resnet50,ctranspath,False,0.9099984261215006,0.5552667799889017,0.44473322001109833,0.594,0.8158,0.8802,0.6938688506924278,0.6938688506924278,1.0,0.7601588919088004,5000.0,5000.0
resnet50,gigapath,False,0.6454532681348986,0.2586639263977131,0.7413360736022869,0.1414,0.3356,0.4458,0.2405084728852119,0.2405084728852119,14.0,0.3768785567042275,5000.0,5000.0
resnet50,keep,False,0.7255042424073647,0.26676762825150635,0.7332323717484936,0.0984,0.252,0.3572,0.1804941698414057,0.1804941698414057,26.0,0.3195929894920336,5000.0,5000.0
resnet50,uni_v2,False,0.627624613575271,0.25463725395786807,0.7453627460421319,0.1044,0.2716,0.371,0.19346733814277664,0.19346733814277664,21.0,0.3328537637209677,5000.0,5000.0
