condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.5578947368421052,0.8761904761904762,0.5333333333333333,0.5289473684210526,105,21.7
single,conch_v1,transmil,512,0.5336842105263158,0.8761904761904762,0.467005076142132,0.4842105263157895,105,19.2
single,ctranspath,abmil,768,0.46421052631578946,0.8666666666666667,0.4642857142857143,0.4789473684210526,105,29.8
single,ctranspath,transmil,768,0.5410526315789473,0.8761904761904762,0.467005076142132,0.4842105263157895,105,28.1
single,gigapath,abmil,1536,0.46157894736842103,0.8952380952380953,0.4723618090452261,0.49473684210526314,105,73.7
single,gigapath,transmil,1536,0.5115789473684211,0.8380952380952381,0.45595854922279794,0.4631578947368421,105,26.2
single,keep,abmil,768,0.49473684210526314,0.9047619047619048,0.475,0.5,105,27.6
single,keep,transmil,768,0.48894736842105263,0.8380952380952381,0.45595854922279794,0.4631578947368421,105,60.5
single,resnet50,abmil,1024,0.4284210526315789,0.8666666666666667,0.4642857142857143,0.4789473684210526,105,64.8
single,resnet50,transmil,1024,0.4821052631578947,0.8380952380952381,0.5081289611463213,0.5078947368421053,105,41.9
single,uni_v2,abmil,1536,0.5473684210526316,0.8761904761904762,0.467005076142132,0.4842105263157895,105,33.5
single,uni_v2,transmil,1536,0.5305263157894736,0.8761904761904762,0.467005076142132,0.4842105263157895,105,32.1
concat,all,abmil,6144,0.5031578947368421,0.8380952380952381,0.45595854922279794,0.4631578947368421,105,40.3
concat,all,transmil,6144,0.49684210526315786,0.8857142857142857,0.4696969696969697,0.48947368421052634,105,45.8
shared,all,abmil,64,0.62,0.9047619047619048,0.475,0.5,105,15.5
shared,all,transmil,64,0.6473684210526316,0.9047619047619048,0.475,0.5,105,18.3
