condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.361764705882353,0.9550561797752809,0.4885057471264368,0.5,89,12.3
single,conch_v1,transmil,512,0.3852941176470588,0.9550561797752809,0.4885057471264368,0.5,89,14.5
single,ctranspath,abmil,768,0.42352941176470593,0.9550561797752809,0.4885057471264368,0.5,89,6.3
single,ctranspath,transmil,768,0.23823529411764707,0.9550561797752809,0.4885057471264368,0.5,89,15.5
single,gigapath,abmil,1536,0.411764705882353,0.9550561797752809,0.4885057471264368,0.5,89,8.0
single,gigapath,transmil,1536,0.47058823529411764,0.9550561797752809,0.4885057471264368,0.5,89,17.3
single,keep,abmil,768,0.40294117647058825,0.9550561797752809,0.4885057471264368,0.5,89,6.9
single,keep,transmil,768,0.37058823529411766,0.9550561797752809,0.4885057471264368,0.5,89,17.8
single,resnet50,abmil,1024,0.18823529411764706,0.9550561797752809,0.4885057471264368,0.5,89,6.1
single,resnet50,transmil,1024,0.3411764705882353,0.7415730337078652,0.4258064516129032,0.38823529411764707,89,29.2
single,uni_v2,abmil,1536,0.45588235294117646,0.9550561797752809,0.4885057471264368,0.5,89,8.7
single,uni_v2,transmil,1536,0.40882352941176464,0.9550561797752809,0.4885057471264368,0.5,89,16.8
concat,all,abmil,6144,0.4823529411764706,0.9550561797752809,0.4885057471264368,0.5,89,18.0
concat,all,transmil,6144,0.40588235294117647,0.9550561797752809,0.4885057471264368,0.5,89,27.1
shared,all,abmil,64,0.5705882352941176,0.9550561797752809,0.4885057471264368,0.5,89,11.8
shared,all,transmil,64,0.21176470588235294,0.9550561797752809,0.4885057471264368,0.5,89,28.7
