condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.5761670761670762,0.6355140186915887,0.49801515698303866,0.5098280098280098,107,17.1
single,conch_v1,transmil,512,0.5753480753480753,0.6915887850467289,0.4088397790055249,0.5,107,15.6
single,ctranspath,abmil,768,0.6122031122031122,0.6261682242990654,0.5367965367965368,0.5366502866502867,107,12.5
single,ctranspath,transmil,768,0.6248976248976249,0.7102803738317757,0.47055067837190745,0.5303030303030303,107,15.7
single,gigapath,abmil,1536,0.545045045045045,0.6074766355140186,0.503315649867374,0.5063472563472564,107,10.2
single,gigapath,transmil,1536,0.622031122031122,0.6074766355140186,0.5231324278438031,0.5231367731367731,107,17.8
single,keep,abmil,768,0.5597870597870598,0.6261682242990654,0.5753968253968254,0.5786240786240786,107,14.2
single,keep,transmil,768,0.6027846027846028,0.7102803738317757,0.47055067837190745,0.5303030303030303,107,15.5
single,resnet50,abmil,1024,0.524979524979525,0.6915887850467289,0.4088397790055249,0.5,107,17.8
single,resnet50,transmil,1024,0.45167895167895167,0.6915887850467289,0.4088397790055249,0.5,107,16.8
single,uni_v2,abmil,1536,0.5401310401310402,0.6261682242990654,0.5162748643761301,0.5198607698607698,107,9.6
single,uni_v2,transmil,1536,0.6433251433251432,0.6822429906542056,0.6488416988416988,0.6611384111384111,107,17.3
concat,all,abmil,6144,0.5847665847665848,0.616822429906542,0.5470314919979349,0.5466830466830467,107,22.0
concat,all,transmil,6144,0.5933660933660934,0.6822429906542056,0.49640088593576964,0.5268222768222768,107,29.7
shared,all,abmil,64,0.542997542997543,0.6915887850467289,0.4088397790055249,0.5,107,22.3
shared,all,transmil,64,0.45372645372645376,0.6915887850467289,0.4088397790055249,0.5,107,16.5
