condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.5325581395348837,0.6507936507936508,0.49489795918367346,0.516860465116279,63,11.7
single,conch_v1,transmil,512,0.5302325581395348,0.6984126984126984,0.45714285714285713,0.525,63,8.9
single,ctranspath,abmil,768,0.5383720930232558,0.6825396825396826,0.4056603773584906,0.5,63,3.6
single,ctranspath,transmil,768,0.5813953488372093,0.6984126984126984,0.45714285714285713,0.525,63,8.9
single,gigapath,abmil,1536,0.5569767441860465,0.6507936507936508,0.5392287234042553,0.5436046511627908,63,9.3
single,gigapath,transmil,1536,0.5767441860465116,0.6666666666666666,0.4415365132967497,0.5017441860465116,63,10.3
single,keep,abmil,768,0.5279069767441861,0.5714285714285714,0.4834497418767082,0.48546511627906974,63,9.7
single,keep,transmil,768,0.5209302325581395,0.6984126984126984,0.45714285714285713,0.525,63,8.9
single,resnet50,abmil,1024,0.563953488372093,0.6825396825396826,0.4056603773584906,0.5,63,7.0
single,resnet50,transmil,1024,0.6313953488372093,0.6825396825396826,0.4056603773584906,0.5,63,9.3
single,uni_v2,abmil,1536,0.472093023255814,0.5873015873015873,0.43124999999999997,0.4569767441860465,63,9.0
single,uni_v2,transmil,1536,0.48255813953488375,0.6984126984126984,0.45714285714285713,0.525,63,10.3
concat,all,abmil,6144,0.569767441860465,0.6190476190476191,0.41846153846153844,0.4668604651162791,63,13.9
concat,all,transmil,6144,0.5616279069767441,0.6666666666666666,0.4415365132967497,0.5017441860465116,63,20.4
shared,all,abmil,64,0.5825581395348837,0.6825396825396826,0.4056603773584906,0.5,63,14.5
shared,all,transmil,64,0.5627906976744186,0.6825396825396826,0.4056603773584906,0.5,63,9.3
