condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.4296296296296296,0.75,0.42857142857142855,0.5,60,7.3
single,conch_v1,transmil,512,0.5170370370370371,0.7333333333333333,0.4230769230769231,0.4888888888888889,60,8.8
single,ctranspath,abmil,768,0.5392592592592592,0.75,0.42857142857142855,0.5,60,3.8
single,ctranspath,transmil,768,0.5866666666666667,0.7333333333333333,0.4230769230769231,0.4888888888888889,60,9.1
single,gigapath,abmil,1536,0.49333333333333335,0.75,0.42857142857142855,0.5,60,4.6
single,gigapath,transmil,1536,0.5451851851851852,0.75,0.42857142857142855,0.5,60,8.4
single,keep,abmil,768,0.5614814814814815,0.7333333333333333,0.5547309833024119,0.5555555555555556,60,9.1
single,keep,transmil,768,0.5377777777777778,0.75,0.42857142857142855,0.5,60,8.8
single,resnet50,abmil,1024,0.6725925925925926,0.75,0.42857142857142855,0.5,60,4.6
single,resnet50,transmil,1024,0.554074074074074,0.75,0.42857142857142855,0.5,60,10.2
single,uni_v2,abmil,1536,0.5925925925925926,0.75,0.42857142857142855,0.5,60,4.2
single,uni_v2,transmil,1536,0.594074074074074,0.7,0.4990723562152134,0.5111111111111111,60,9.9
concat,all,abmil,6144,0.5481481481481482,0.75,0.42857142857142855,0.5,60,13.0
concat,all,transmil,6144,0.5585185185185185,0.75,0.42857142857142855,0.5,60,18.8
shared,all,abmil,64,0.6548148148148148,0.75,0.42857142857142855,0.5,60,17.0
shared,all,transmil,64,0.7244444444444444,0.75,0.42857142857142855,0.5,60,10.3
