condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.5739130434782609,0.6037735849056604,0.5823639774859287,0.5840579710144927,53,10.0
single,conch_v1,transmil,512,0.5101449275362319,0.5283018867924528,0.5283018867924528,0.5376811594202899,53,9.2
single,ctranspath,abmil,768,0.5826086956521739,0.5849056603773585,0.5487616099071208,0.5572463768115943,53,7.2
single,ctranspath,transmil,768,0.48840579710144927,0.4528301886792453,0.4400728597449909,0.48115942028985503,53,12.2
single,gigapath,abmil,1536,0.444927536231884,0.4716981132075472,0.46695402298850575,0.46739130434782605,53,6.2
single,gigapath,transmil,1536,0.5724637681159421,0.5660377358490566,0.5604038946988821,0.5608695652173913,53,12.5
single,keep,abmil,768,0.5507246376811594,0.5471698113207547,0.35365853658536583,0.48333333333333334,53,3.6
single,keep,transmil,768,0.508695652173913,0.4339622641509434,0.3026315789473684,0.5,53,8.0
single,resnet50,abmil,1024,0.518840579710145,0.5660377358490566,0.3614457831325301,0.5,53,4.6
single,resnet50,transmil,1024,0.5318840579710145,0.4339622641509434,0.3026315789473684,0.5,53,9.8
single,uni_v2,abmil,1536,0.5536231884057972,0.5283018867924528,0.5108896271686969,0.5123188405797101,53,13.4
single,uni_v2,transmil,1536,0.5724637681159419,0.6037735849056604,0.574052812858783,0.5789855072463769,53,11.8
concat,all,abmil,6144,0.4811594202898551,0.4716981132075472,0.46695402298850575,0.46739130434782605,53,12.7
concat,all,transmil,6144,0.5579710144927535,0.4339622641509434,0.3026315789473684,0.5,53,15.3
shared,all,abmil,64,0.3550724637681159,0.5660377358490566,0.3614457831325301,0.5,53,4.2
shared,all,transmil,64,0.4652173913043478,0.4339622641509434,0.3026315789473684,0.5,53,8.2
