condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.742534355179704,0.648854961832061,0.44001486850664434,0.49781976744186046,262,36.2
single,conch_v1,transmil,512,0.7540961945031713,0.7251908396946565,0.6637433155080215,0.6557214587737843,262,56.1
single,ctranspath,abmil,768,0.6518234672304439,0.6641221374045801,0.40972862263184845,0.4972912262156448,262,30.9
single,ctranspath,transmil,768,0.6150237843551797,0.6717557251908397,0.4018264840182648,0.5,262,57.2
single,gigapath,abmil,1536,0.7379096194503171,0.6984732824427481,0.6295659955257271,0.6239429175475687,262,35.0
single,gigapath,transmil,1536,0.7046115221987315,0.7061068702290076,0.6472768598653729,0.6415169133192389,262,74.1
single,keep,abmil,768,0.7532373150105709,0.6870229007633588,0.5081501831501831,0.5440671247357294,262,48.2
single,keep,transmil,768,0.7159090909090908,0.6793893129770993,0.5611390284757118,0.5681157505285412,262,55.9
single,resnet50,abmil,1024,0.6943049682875264,0.6755725190839694,0.4535639798797694,0.5177061310782242,262,92.0
single,resnet50,transmil,1024,0.6839984143763214,0.7061068702290076,0.5955087719298245,0.5969212473572939,262,136.6
single,uni_v2,abmil,1536,0.7270745243128965,0.6603053435114504,0.5559744834809102,0.5598572938689218,262,43.1
single,uni_v2,transmil,1536,0.6832056025369979,0.6564885496183206,0.49550706033376124,0.5243128964059196,262,63.3
