condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.7581690871369295,0.8754578754578755,0.6257258064516129,0.6042531120331951,273,30.1
single,conch_v1,transmil,512,0.7398858921161825,0.8168498168498168,0.5691287878787878,0.571058091286307,273,70.8
single,ctranspath,abmil,768,0.7230290456431535,0.8644688644688645,0.5519627411842981,0.5438278008298756,273,28.2
single,ctranspath,transmil,768,0.7103215767634854,0.8424908424908425,0.5788397373802605,0.5720306016597511,273,73.1
single,gigapath,abmil,1536,0.772951244813278,0.8754578754578755,0.638663967611336,0.6178034232365146,273,26.5
single,gigapath,transmil,1536,0.7199170124481328,0.8864468864468864,0.5912581502052644,0.569826244813278,273,56.7
single,keep,abmil,768,0.7527230290456431,0.8754578754578755,0.638663967611336,0.6178034232365146,273,66.4
single,keep,transmil,768,0.7173236514522822,0.8388278388278388,0.610606846473029,0.610606846473029,273,60.9
single,resnet50,abmil,1024,0.6775155601659751,0.8827838827838828,0.4688715953307393,0.5,273,52.6
single,resnet50,transmil,1024,0.6383558091286308,0.8827838827838828,0.4688715953307393,0.5,273,113.0
single,uni_v2,abmil,1536,0.8022562240663901,0.8717948717948718,0.6859903381642511,0.6834802904564315,273,34.1
single,uni_v2,transmil,1536,0.732883817427386,0.8241758241758241,0.6160337552742616,0.629408713692946,273,58.7
concat,all,abmil,6144,0.7830653526970954,0.8315018315018315,0.6136475510706375,0.6200077800829875,273,134.2
concat,all,transmil,6144,0.7208895228215768,0.8827838827838828,0.659919028340081,0.6355031120331951,273,190.2
shared,all,abmil,64,0.7315871369294606,0.8827838827838828,0.4688715953307393,0.5,273,114.7
shared,all,transmil,64,0.7279564315352697,0.8608058608058609,0.5961538461538461,0.5824040456431535,273,177.5
