condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.6714479192317163,0.5803921568627451,0.5802888830777277,0.5812607732085693,255,26.9
single,conch_v1,transmil,512,0.5955429697118937,0.5176470588235295,0.5161887426923136,0.519545678404334,255,42.7
single,ctranspath,abmil,768,0.49624476729869493,0.5215686274509804,0.5161440836132886,0.5190531888697365,255,19.2
single,ctranspath,transmil,768,0.5016005909874416,0.5137254901960784,0.5082120194102278,0.5170216695395222,255,49.1
single,gigapath,abmil,1536,0.5599606008372322,0.5568627450980392,0.5541199226305609,0.5551280472789953,255,31.2
single,gigapath,transmil,1536,0.6081014528441271,0.5882352941176471,0.5816471617630974,0.5852314700812609,255,57.9
single,keep,abmil,768,0.5361979807929081,0.49411764705882355,0.49408652589163504,0.49470573750307806,255,25.3
single,keep,transmil,768,0.5416769268653042,0.5137254901960784,0.499493478536153,0.5187453829106132,255,44.5
single,resnet50,abmil,1024,0.4929204629401625,0.49411764705882355,0.4903239801056693,0.4921201674464418,255,52.8
single,resnet50,transmil,1024,0.5449396700320118,0.5372549019607843,0.5249747410962364,0.5332430435853238,255,96.2
single,uni_v2,abmil,1536,0.6612903225806451,0.5882352941176471,0.5881339506837515,0.5891098251662152,255,38.1
single,uni_v2,transmil,1536,0.6441763112533858,0.6078431372549019,0.6077888519748984,0.6079783304604778,255,65.2
concat,all,abmil,6144,0.6787737010588526,0.6274509803921569,0.626877165960724,0.6290014774686037,255,103.0
concat,all,transmil,6144,0.6354961832061068,0.6078431372549019,0.60609243697479,0.6101329721743414,255,106.0
shared,all,abmil,64,0.5768283673971928,0.5372549019607843,0.49836623099493194,0.5300110810145284,255,48.4
shared,all,transmil,64,0.5681482393499138,0.5294117647058824,0.5285344508813017,0.5309960600837232,255,102.0
