condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.9703007518796992,0.9276729559748428,0.8261675579322638,0.8224624060150376,318,67.2
single,conch_v1,transmil,512,0.9519266917293233,0.9528301886792453,0.8714805334770308,0.8253759398496241,318,136.2
single,ctranspath,abmil,768,0.9390977443609023,0.9371069182389937,0.8212880746318983,0.7709586466165415,318,40.9
single,ctranspath,transmil,768,0.9440789473684211,0.9371069182389937,0.8394750126198889,0.8164473684210527,318,77.5
single,gigapath,abmil,1536,0.9543233082706767,0.9308176100628931,0.8034168820950882,0.7560150375939849,318,37.9
single,gigapath,transmil,1536,0.9459586466165414,0.9150943396226415,0.8129371010261661,0.838063909774436,318,63.8
single,keep,abmil,768,0.9654135338345865,0.949685534591195,0.8570304597055187,0.8008458646616541,318,45.2
single,keep,transmil,768,0.962218045112782,0.9465408805031447,0.8581958397817591,0.8218045112781955,318,58.1
single,resnet50,abmil,1024,0.7971804511278195,0.8805031446540881,0.4682274247491639,0.5,318,53.9
single,resnet50,transmil,1024,0.8642857142857143,0.889937106918239,0.5437589670014347,0.5394736842105263,318,87.4
single,uni_v2,abmil,1536,0.9711466165413534,0.9371069182389937,0.810285168834268,0.7482142857142857,318,35.6
single,uni_v2,transmil,1536,0.9660714285714286,0.9276729559748428,0.7973905094323943,0.7542293233082706,318,70.1
concat,all,abmil,6144,0.9609022556390978,0.9276729559748428,0.7632933104631218,0.6973684210526316,318,103.9
concat,all,transmil,6144,0.9656954887218046,0.9276729559748428,0.8300768998443417,0.8338345864661654,318,190.8
shared,all,abmil,64,0.931015037593985,0.9433962264150944,0.834375,0.77453007518797,318,132.9
shared,all,transmil,64,0.9330827067669173,0.9308176100628931,0.7913136857176948,0.7332706766917293,318,152.4
