condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.607735767057801,0.7637795275590551,0.46368243243243246,0.5092568448500652,254,27.6
single,conch_v1,transmil,512,0.6014776184267709,0.7322834645669292,0.5633090614886731,0.5596697088222512,254,61.6
single,ctranspath,abmil,768,0.5975662755323772,0.7401574803149606,0.4894005847953216,0.5116036505867014,254,35.6
single,ctranspath,transmil,768,0.5902651021295089,0.7598425196850394,0.5690724516757057,0.5657974793568015,254,67.8
single,gigapath,abmil,1536,0.5559322033898305,0.7519685039370079,0.45842217484008524,0.5015645371577575,254,30.2
single,gigapath,transmil,1536,0.5879182963928726,0.7165354330708661,0.5448481831757093,0.5435028248587571,254,77.8
single,resnet50,abmil,1024,0.5469795740982182,0.7677165354330708,0.43429844097995546,0.5,254,38.8
single,resnet50,transmil,1024,0.6444154715341156,0.7362204724409449,0.5731306594426469,0.5681442850934376,254,186.5
single,uni_v2,abmil,1536,0.5743589743589743,0.7519685039370079,0.5178232440413415,0.5311169056931768,254,36.1
single,uni_v2,transmil,1536,0.5477618426770969,0.7716535433070866,0.4519345238095238,0.5084745762711864,254,67.8
concat,all,abmil,5376,0.5586266840504128,0.7598425196850394,0.4619204723042195,0.5066927422859626,254,112.1
concat,all,transmil,5376,0.596697088222512,0.7165354330708661,0.5583888727904955,0.5553237722729247,254,137.3
shared,all,abmil,64,0.5047370708387657,0.7677165354330708,0.43429844097995546,0.5,254,25.6
shared,all,transmil,64,0.4893524554541504,0.7677165354330708,0.43429844097995546,0.5,254,77.2
