condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.9667586841499886,0.9234042553191489,0.8839697169190257,0.9030365769496205,235,27.9
single,conch_v1,transmil,512,0.9692891649413389,0.9191489361702128,0.8784339350377086,0.9003910743041177,235,56.9
single,ctranspath,abmil,768,0.9667586841499884,0.9191489361702128,0.8726505233735489,0.8757188865884518,235,46.0
single,ctranspath,transmil,768,0.972509776857603,0.9361702127659575,0.8994609395054334,0.9027490223142397,235,104.0
single,gigapath,abmil,1536,0.9719346675868415,0.9191489361702128,0.8784339350377086,0.9003910743041177,235,36.8
single,gigapath,transmil,1536,0.9718196457326892,0.9404255319148936,0.9069148936170213,0.9136185875316309,235,64.9
single,resnet50,abmil,1024,0.8584080975385323,0.8468085106382979,0.7047738693467337,0.6744881527490223,235,81.1
single,resnet50,transmil,1024,0.8947550034506556,0.8893617021276595,0.8115593387614113,0.791407867494824,235,120.2
single,uni_v2,abmil,1536,0.9707844490453186,0.9234042553191489,0.8803191489361701,0.8865884518058431,235,51.1
single,uni_v2,transmil,1536,0.9641131815044859,0.9361702127659575,0.9010526315789473,0.9109730848861284,235,61.8
concat,all,abmil,5376,0.9727398205659076,0.9276595744680851,0.8912303629284761,0.9139061421670117,235,101.2
concat,all,transmil,5376,0.9661835748792271,0.9276595744680851,0.8860557314394912,0.8892339544513457,235,110.5
shared,all,abmil,64,0.9322521279043019,0.8893617021276595,0.8182413136601618,0.8078559926386013,235,132.0
shared,all,transmil,64,0.959397285484242,0.9148936170212766,0.8625730994152047,0.8566252587991718,235,195.9
