condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.9718006616604526,0.9202898550724637,0.9202856692747992,0.9202856692747992,276,54.4
single,conch_v1,transmil,512,0.9730084545502284,0.9130434782608695,0.9130434782608695,0.9130914246704827,276,63.2
single,ctranspath,abmil,768,0.9559418158903534,0.9094202898550725,0.9094191007548409,0.9094417896339863,276,50.5
single,ctranspath,transmil,768,0.9464895237094996,0.8804347826086957,0.8789071328857276,0.8796670692642966,276,83.5
single,gigapath,abmil,1536,0.9528435645644068,0.9130434782608695,0.9130389119361445,0.9130389119361445,276,57.4
single,gigapath,transmil,1536,0.9601953473717376,0.9311594202898551,0.9310861423220974,0.9309720107125978,276,70.1
single,resnet50,abmil,1024,0.922963818726041,0.8840579710144928,0.8840031520882585,0.8839468571128499,276,168.7
single,resnet50,transmil,1024,0.9470146510528803,0.8623188405797102,0.8623188405797102,0.8623641232999002,276,112.3
single,uni_v2,abmil,1536,0.9590400672163,0.9166666666666666,0.9166655726944536,0.9166885469726409,276,60.5
single,uni_v2,transmil,1536,0.9578847870608622,0.9347826086956522,0.9347277696026908,0.9346216457490941,276,115.1
concat,all,abmil,5376,0.9682297957254634,0.9384057971014492,0.9383402326039818,0.9382187680512524,276,139.6
concat,all,transmil,5376,0.9697526650212677,0.927536231884058,0.9275324266134537,0.9275324266134537,276,154.5
shared,all,abmil,64,0.9342015438743897,0.8876811594202898,0.8876796849360027,0.8877015176180224,276,138.0
shared,all,transmil,64,0.9609305256524707,0.9311594202898551,0.9310063546778586,0.9308669852439216,276,199.5
