condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.555077452667814,0.7740384615384616,0.5076303198186854,0.5205106138841078,208,32.2
single,conch_v1,transmil,512,0.5692771084337349,0.7836538461538461,0.5285822211029967,0.5354274239816408,208,70.3
single,ctranspath,abmil,768,0.6067125645438899,0.7980769230769231,0.44385026737967914,0.5,208,21.5
single,ctranspath,transmil,768,0.5890705679862306,0.7836538461538461,0.49717969379532634,0.5176419965576592,208,47.7
single,gigapath,abmil,1536,0.6524670109007459,0.7932692307692307,0.5351109725037684,0.541451520367183,208,30.6
single,gigapath,transmil,1536,0.6705393000573723,0.7884615384615384,0.46227967097532313,0.5028686173264486,208,58.4
single,resnet50,abmil,1024,0.5764486517498566,0.7980769230769231,0.44385026737967914,0.5,208,52.5
single,resnet50,transmil,1024,0.5623924268502581,0.7980769230769231,0.44385026737967914,0.5,208,53.7
single,uni_v2,abmil,1536,0.6891853126792885,0.7980769230769231,0.48672150411280846,0.5177854274239816,208,31.9
single,uni_v2,transmil,1536,0.700229489386116,0.7884615384615384,0.5592371412059334,0.5562248995983936,208,54.4
concat,all,abmil,5376,0.6616465863453814,0.7932692307692307,0.5195272629599785,0.5325588066551922,208,85.7
concat,all,transmil,5376,0.6721170395869192,0.7932692307692307,0.4642707397424378,0.5058806655192197,208,94.7
shared,all,abmil,64,0.6034136546184738,0.7980769230769231,0.44385026737967914,0.5,208,107.7
shared,all,transmil,64,0.6047045324153758,0.7980769230769231,0.44385026737967914,0.5,208,46.4
