source,target,cosine,r2
gpfm,hoptimus0,0.6901880215668096,0.4166925629044492
gpfm,virchow,0.8941018557321151,0.6022598101769479
gpfm,virchow2,0.7929969631846104,0.46850501906567166
hoptimus0,gpfm,0.7082654180006899,0.4516242649723926
hoptimus0,virchow,0.8958776089323776,0.6137145991123425
hoptimus0,virchow2,0.8013784407223258,0.5028672599944919
virchow,gpfm,0.7074764642745208,0.45163846582651246
virchow,hoptimus0,0.6959463569846789,0.4248374999476088
virchow,virchow2,0.8084200133494249,0.5104529735834922
virchow2,gpfm,0.7078753912968435,0.4521837933920604
virchow2,hoptimus0,0.692567712794429,0.4250415763159605
virchow2,virchow,0.8970206893447619,0.6170016102226573
