source,target,cosine,r2
gpfm,hoptimus0,0.7126554625027306,0.4551902071285804
gpfm,virchow,0.906809188922224,0.642401437598501
gpfm,virchow2,0.8215193953107882,0.5530954613319564
hoptimus0,gpfm,0.7339889620735821,0.486638658816802
hoptimus0,virchow,0.9053297086866281,0.6362386118419874
hoptimus0,virchow2,0.8195305607218983,0.5489695549611198
virchow,gpfm,0.732615165748729,0.4851861780150565
virchow,hoptimus0,0.7115562133256089,0.4525582551027265
virchow,virchow2,0.8229093287753074,0.5567548329190186
virchow2,gpfm,0.7373138063432263,0.4934465581505937
virchow2,hoptimus0,0.7134774533909839,0.45675618586204914
virchow2,virchow,0.9073816530423985,0.6442088811356377
