source,target,cosine,r2
gpfm,hoptimus0,0.7028515042583202,0.43672232021934465
gpfm,virchow,0.9005957532385559,0.616182594354387
gpfm,virchow2,0.8186174718984855,0.5434410188473314
hoptimus0,gpfm,0.7043918465913778,0.43555420171192494
hoptimus0,virchow,0.8941862461312531,0.5911407320909928
hoptimus0,virchow2,0.8109242339963788,0.5253527526311016
virchow,gpfm,0.7028894956308007,0.43063406489314715
virchow,hoptimus0,0.6957532995372041,0.4199673615379468
virchow,virchow2,0.818879208206333,0.5433406143286991
virchow2,gpfm,0.7146040888534892,0.45369453103920465
virchow2,hoptimus0,0.704382402082874,0.43918984029449937
virchow2,virchow,0.901274572117131,0.6184996616445613
