condition,query,database,same_model,recall@1,recall@5,recall@10,map,mrr,median_rank,ndcg,n_query,n_database
unaligned_pca,gpfm,gpfm,True,0.9996,1.0,1.0,0.9997666666666668,0.9997666666666668,1.0,0.9998261859507144,5000.0,5000.0
unaligned_pca,gpfm,hoptimus0,False,0.0004,0.0012,0.0014,0.0017484624058560542,0.0017484624058560542,3073.5,0.09250993891415507,5000.0,5000.0
unaligned_pca,gpfm,virchow,False,0.0,0.0008,0.0016,0.0013956849457586063,0.0013956849457586063,2078.5,0.09485745102977634,5000.0,5000.0
unaligned_pca,gpfm,virchow2,False,0.0,0.0008,0.0018,0.0016613407800151784,0.0016613407800151784,2396.0,0.09536252384288507,5000.0,5000.0
unaligned_pca,hoptimus0,gpfm,False,0.0004,0.0012,0.0024,0.001624762840332552,0.001624762840332552,3046.5,0.09174785098433404,5000.0,5000.0
unaligned_pca,hoptimus0,hoptimus0,True,0.9994,1.0,1.0,0.9996333333333333,0.9996333333333333,1.0,0.9997261859507144,5000.0,5000.0
unaligned_pca,hoptimus0,virchow,False,0.0,0.0,0.0,0.00043534111408634964,0.00043534111408634964,3680.0,0.08647483460934531,5000.0,5000.0
unaligned_pca,hoptimus0,virchow2,False,0.0002,0.0006,0.0012,0.0011500028225614426,0.0011500028225614426,2902.0,0.09128152452646825,5000.0,5000.0
unaligned_pca,virchow,gpfm,False,0.0,0.0002,0.0012,0.0013270478011344518,0.0013270478011344518,1927.5,0.09557129972463695,5000.0,5000.0
unaligned_pca,virchow,hoptimus0,False,0.0,0.0002,0.0004,0.0005871829896893471,0.0005871829896893471,3668.5,0.08722539913076828,5000.0,5000.0
unaligned_pca,virchow,virchow,True,0.9994,1.0,1.0,0.9996166666666668,0.9996166666666668,1.0,0.999712321262329,5000.0,5000.0
unaligned_pca,virchow,virchow2,False,0.0002,0.0012,0.0028,0.0027219964772376365,0.0027219964772376365,1853.5,0.10025682887943385,5000.0,5000.0
unaligned_pca,virchow2,gpfm,False,0.0002,0.001,0.003,0.001906275304264646,0.001906275304264646,2424.0,0.09548951815193728,5000.0,5000.0
unaligned_pca,virchow2,hoptimus0,False,0.0006,0.001,0.0016,0.0016855173508436515,0.0016855173508436515,2837.5,0.09210965554808179,5000.0,5000.0
unaligned_pca,virchow2,virchow,False,0.0008,0.0026,0.007,0.004005048464778106,0.004005048464778106,1825.0,0.10152283964707502,5000.0,5000.0
unaligned_pca,virchow2,virchow2,True,0.9994,1.0,1.0,0.9996166666666666,0.9996166666666666,1.0,0.999712321262329,5000.0,5000.0
unaligned_truncate,gpfm,gpfm,True,0.9996,1.0,1.0,0.9997666666666666,0.9997666666666666,1.0,0.9998261859507144,5000.0,5000.0
unaligned_truncate,gpfm,hoptimus0,False,0.0,0.0006,0.0014,0.0016195291650647242,0.0016195291650647242,2463.0,0.09482646183317921,5000.0,5000.0
unaligned_truncate,gpfm,virchow,False,0.0004,0.0008,0.0014,0.0016210605082929788,0.0016210605082929788,2621.0,0.09349410503375484,5000.0,5000.0
unaligned_truncate,gpfm,virchow2,False,0.0004,0.001,0.0012,0.0017073546742702326,0.0017073546742702326,2716.5,0.09325650503988418,5000.0,5000.0
unaligned_truncate,hoptimus0,gpfm,False,0.0,0.0,0.0016,0.0015615097886027645,0.0015615097886027645,2470.5,0.09493854925098265,5000.0,5000.0
unaligned_truncate,hoptimus0,hoptimus0,True,0.9994,1.0,1.0,0.9996166666666668,0.9996166666666668,1.0,0.999712321262329,5000.0,5000.0
