query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.8865,0.967,0.981,0.9240182189431846,1.0,2000.0
gigapath,ctranspath,0.8085,0.943,0.973,0.8689813111064243,1.0,2000.0
ctranspath,keep,0.6195,0.8785,0.9315,0.7328876813753782,1.0,2000.0
keep,ctranspath,0.585,0.8465,0.913,0.7004664208425372,1.0,2000.0
ctranspath,resnet50,0.856,0.9665,0.9825,0.9055352632707725,1.0,2000.0
resnet50,ctranspath,0.7845,0.9415,0.974,0.8530145216271798,1.0,2000.0
ctranspath,uni_v2,0.8615,0.9675,0.9815,0.9091135705351041,1.0,2000.0
uni_v2,ctranspath,0.7685,0.947,0.9735,0.8466422755184779,1.0,2000.0
gigapath,keep,0.658,0.897,0.9435,0.7622193357775562,1.0,2000.0
keep,gigapath,0.7375,0.942,0.9735,0.8277633386905855,1.0,2000.0
gigapath,resnet50,0.6895,0.909,0.9485,0.785079152956248,1.0,2000.0
resnet50,gigapath,0.733,0.93,0.9665,0.8196431483824538,1.0,2000.0
gigapath,uni_v2,0.906,0.9685,0.982,0.9341525284609067,1.0,2000.0
uni_v2,gigapath,0.9165,0.9735,0.981,0.9442054432274359,1.0,2000.0
keep,resnet50,0.3955,0.7005,0.8095,0.5335327908412479,2.0,2000.0
resnet50,keep,0.3995,0.703,0.8085,0.537548429054919,2.0,2000.0
keep,uni_v2,0.7665,0.9405,0.972,0.8447499423829591,1.0,2000.0
uni_v2,keep,0.693,0.927,0.963,0.7942106497337086,1.0,2000.0
resnet50,uni_v2,0.664,0.8845,0.9335,0.763602223398449,1.0,2000.0
uni_v2,resnet50,0.6255,0.876,0.931,0.7367882340331391,1.0,2000.0
