query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.984,0.9975,0.999,0.9903296991210278,1.0,2000.0
gigapath,ctranspath,0.9765,0.9945,0.998,0.9850009699627371,1.0,2000.0
ctranspath,keep,0.966,0.999,0.9995,0.9807645833333334,1.0,2000.0
keep,ctranspath,0.9725,0.999,0.999,0.9841006944444445,1.0,2000.0
ctranspath,resnet50,0.978,0.999,0.9995,0.9874282945736433,1.0,2000.0
resnet50,ctranspath,0.967,0.994,0.997,0.9791342656780158,1.0,2000.0
ctranspath,uni_v2,0.9875,0.9995,1.0,0.9928222222222222,1.0,2000.0
uni_v2,ctranspath,0.987,0.9985,1.0,0.9920472222222222,1.0,2000.0
gigapath,keep,0.9575,0.991,0.9955,0.9728014784918853,1.0,2000.0
keep,gigapath,0.969,0.9955,0.997,0.9806028425006366,1.0,2000.0
gigapath,resnet50,0.9745,0.997,0.999,0.984025734384663,1.0,2000.0
resnet50,gigapath,0.968,0.99,0.996,0.9780338832463833,1.0,2000.0
gigapath,uni_v2,0.9845,0.9965,0.9985,0.9897854256854257,1.0,2000.0
uni_v2,gigapath,0.9855,0.999,0.9995,0.991555357142857,1.0,2000.0
keep,resnet50,0.9065,0.9865,0.995,0.9415604703167203,1.0,2000.0
resnet50,keep,0.8825,0.975,0.99,0.9239945681675892,1.0,2000.0
keep,uni_v2,0.9875,0.999,0.9995,0.9927683006535948,1.0,2000.0
uni_v2,keep,0.98,0.999,1.0,0.9885964285714286,1.0,2000.0
resnet50,uni_v2,0.958,0.9905,0.998,0.9727559398934399,1.0,2000.0
uni_v2,resnet50,0.966,0.9975,0.999,0.979520670995671,1.0,2000.0
