source,target,cosine,r2
ctranspath,gigapath,0.667040722317281,0.3578920367582574
ctranspath,keep,0.8007271244712836,0.47478705153372724
ctranspath,resnet50,0.9763148791245146,0.7433661324338892
ctranspath,uni_v2,0.6492259402507436,0.3649828664853816
gigapath,ctranspath,0.9246995356665589,0.6498077840663918
gigapath,keep,0.8198101179092637,0.5216770765585735
gigapath,resnet50,0.9737778998492611,0.7162455293568779
gigapath,uni_v2,0.6734492727247938,0.4052123876699639
keep,ctranspath,0.9133410930879996,0.5982823434006976
keep,gigapath,0.6610356125913096,0.35013130840519313
keep,resnet50,0.966226655570195,0.6359013104182198
keep,uni_v2,0.658128331105162,0.3807315771137614
resnet50,ctranspath,0.9190603764100473,0.6254029526586824
resnet50,gigapath,0.6411434381220198,0.31576571270399145
resnet50,keep,0.7629511251024194,0.3881984732661087
resnet50,uni_v2,0.6190218289531273,0.3179522066427388
uni_v2,ctranspath,0.9258447385974128,0.6540675060723211
uni_v2,gigapath,0.6865253619859903,0.3908891553688695
uni_v2,keep,0.8314250275992288,0.5490096616465558
uni_v2,resnet50,0.9722583277726906,0.7002094301766754
