query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.9785,0.9955,0.998,0.9863116030565544,1.0,2000.0
gigapath,ctranspath,0.97,0.9935,0.997,0.9809399977895668,1.0,2000.0
ctranspath,keep,0.945,0.993,0.997,0.965731406973785,1.0,2000.0
keep,ctranspath,0.9665,0.996,0.998,0.9798340834818775,1.0,2000.0
ctranspath,resnet50,0.9755,0.997,0.999,0.9849683712121212,1.0,2000.0
resnet50,ctranspath,0.949,0.989,0.9955,0.9672401665363622,1.0,2000.0
ctranspath,uni_v2,0.987,0.999,1.0,0.9919880952380952,1.0,2000.0
uni_v2,ctranspath,0.9805,0.9985,1.0,0.9888519841269843,1.0,2000.0
gigapath,keep,0.9445,0.984,0.992,0.9631659204121221,1.0,2000.0
keep,gigapath,0.962,0.9945,0.997,0.9766608074795574,1.0,2000.0
gigapath,resnet50,0.953,0.995,0.999,0.9719132176629518,1.0,2000.0
resnet50,gigapath,0.9385,0.9855,0.996,0.960604819206135,1.0,2000.0
gigapath,uni_v2,0.979,0.9965,0.997,0.9865280578117533,1.0,2000.0
uni_v2,gigapath,0.9855,0.9975,0.998,0.9904489358088149,1.0,2000.0
keep,resnet50,0.869,0.982,0.9925,0.918668876972819,1.0,2000.0
resnet50,keep,0.8045,0.937,0.9575,0.8628843934455387,1.0,2000.0
keep,uni_v2,0.989,0.9995,0.9995,0.9934749999999999,1.0,2000.0
uni_v2,keep,0.9775,0.9975,0.9995,0.9863934523809523,1.0,2000.0
resnet50,uni_v2,0.9165,0.985,0.9945,0.946273992961062,1.0,2000.0
uni_v2,resnet50,0.9375,0.9955,0.9995,0.963181746031746,1.0,2000.0
