query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.8615,0.9735,0.988,0.9118363565887825,1.0,2000.0
gigapath,ctranspath,0.828,0.965,0.985,0.8894020068069102,1.0,2000.0
ctranspath,keep,0.7625,0.9585,0.982,0.8489679959740202,1.0,2000.0
keep,ctranspath,0.756,0.9565,0.9775,0.8431230882609256,1.0,2000.0
ctranspath,resnet50,0.881,0.972,0.9855,0.920787191309636,1.0,2000.0
resnet50,ctranspath,0.8475,0.955,0.9785,0.8946838636395371,1.0,2000.0
ctranspath,uni_v2,0.82,0.9715,0.9895,0.8878021390008237,1.0,2000.0
uni_v2,ctranspath,0.7535,0.9545,0.9805,0.8415582078045744,1.0,2000.0
gigapath,keep,0.7355,0.942,0.972,0.8267540584006723,1.0,2000.0
keep,gigapath,0.7735,0.9545,0.9765,0.8512763544857516,1.0,2000.0
gigapath,resnet50,0.678,0.9225,0.9635,0.7838074744690776,1.0,2000.0
resnet50,gigapath,0.675,0.9115,0.9535,0.7779958728986454,1.0,2000.0
gigapath,uni_v2,0.885,0.9785,0.9895,0.9268378220030057,1.0,2000.0
uni_v2,gigapath,0.849,0.97,0.986,0.9028173502272919,1.0,2000.0
keep,resnet50,0.4785,0.8045,0.883,0.6213280227766894,2.0,2000.0
resnet50,keep,0.473,0.7775,0.8585,0.6078589690156322,2.0,2000.0
keep,uni_v2,0.815,0.97,0.99,0.8846162885852291,1.0,2000.0
uni_v2,keep,0.748,0.949,0.9775,0.835426890366462,1.0,2000.0
resnet50,uni_v2,0.558,0.8345,0.9135,0.6825493961481008,1.0,2000.0
uni_v2,resnet50,0.536,0.842,0.914,0.6694907962469104,1.0,2000.0
