source,target,cosine,r2
ctranspath,gigapath,0.5925267668004546,0.20925860322374656
ctranspath,keep,0.6906531845018374,0.10683604653798351
ctranspath,resnet50,0.9341349108298916,0.26042642437072205
ctranspath,uni_v2,0.5394173469777594,0.13399137496126368
gigapath,ctranspath,0.8603578023567996,0.34318752460255775
gigapath,keep,0.6995592173003519,0.14236765207811986
gigapath,resnet50,0.9116359737827672,0.008385779276199878
gigapath,uni_v2,0.5878436877994985,0.24008781272322244
keep,ctranspath,0.8311121234950815,0.2288783723684894
keep,gigapath,0.5488012705340838,0.1574116278560067
keep,resnet50,0.9037923236052778,-0.05035607133587505
keep,uni_v2,0.5333698286157461,0.15755532274983808
resnet50,ctranspath,0.8640319614982511,0.3686927256909899
resnet50,gigapath,0.5259740871327083,0.11277450724769988
resnet50,keep,0.6356489451576863,0.011104899981185024
resnet50,uni_v2,0.4684383245703528,0.04354602949885367
uni_v2,ctranspath,0.8424021961360056,0.2558980936423918
uni_v2,gigapath,0.6092976059915414,0.2500269067127072
uni_v2,keep,0.7101402766879596,0.1770585196235669
uni_v2,resnet50,0.9047644093251145,-0.07851593809246271
