query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.682,0.9025,0.943,0.778962277082955,1.0,2000.0
gigapath,ctranspath,0.612,0.873,0.929,0.7270021027524529,1.0,2000.0
ctranspath,keep,0.4105,0.7225,0.8135,0.5495795886078529,2.0,2000.0
keep,ctranspath,0.3245,0.6345,0.752,0.46639853602613446,3.0,2000.0
ctranspath,resnet50,0.7175,0.9205,0.961,0.8096089563248481,1.0,2000.0
resnet50,ctranspath,0.6245,0.8235,0.874,0.715993178572689,1.0,2000.0
ctranspath,uni_v2,0.5175,0.802,0.8855,0.6473952574398367,1.0,2000.0
uni_v2,ctranspath,0.368,0.7025,0.8155,0.5170321316462907,2.0,2000.0
gigapath,keep,0.3865,0.7015,0.8015,0.5258839808343739,2.0,2000.0
keep,gigapath,0.384,0.7025,0.8165,0.5248450942942984,2.0,2000.0
gigapath,resnet50,0.296,0.604,0.727,0.4395657148651995,3.0,2000.0
resnet50,gigapath,0.2785,0.544,0.658,0.4048961628081482,4.0,2000.0
gigapath,uni_v2,0.597,0.867,0.9265,0.7148928384106393,1.0,2000.0
uni_v2,gigapath,0.51,0.819,0.895,0.6470037232104373,1.0,2000.0
keep,resnet50,0.142,0.318,0.446,0.24000554050611447,14.0,2000.0
resnet50,keep,0.125,0.3195,0.435,0.22222201316114273,15.0,2000.0
keep,uni_v2,0.3895,0.7245,0.8295,0.5340110606924018,2.0,2000.0
uni_v2,keep,0.3125,0.638,0.7615,0.46242166211813057,3.0,2000.0
resnet50,uni_v2,0.2125,0.4525,0.558,0.3290307187020393,8.0,2000.0
uni_v2,resnet50,0.151,0.402,0.5535,0.2753945504634288,8.0,2000.0
