model_a,model_b,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
CTransPath,Prov-GigaPath,0.6940184391758047,0.716859472708158,0.5996071470862836,0.674239583950702,0.6182155809662914,0.6445271704325328,0.847155149230131
CTransPath,KEEP,0.5653346678095411,0.5879142239463672,0.4073517831662524,0.5357167084023555,0.6085070676731134,0.5111270587917687,0.7667566340530629
CTransPath,ResNet50 (ImageNet),0.5780008758298103,0.6425206923354992,0.46041293585359944,0.5989767000064874,0.679499542190698,0.6310931194550482,0.8031988278043765
CTransPath,UNI2-h,0.5789392933269154,0.6045006039801631,0.6113359241402521,0.6708505929319788,0.5831150197072799,0.5161386254555582,0.7771465522172718
Prov-GigaPath,KEEP,0.6064058923444757,0.6211905499895777,0.5753898473083957,0.655237345438882,0.5715602703497529,0.540127158087512,0.7880891324019049
Prov-GigaPath,ResNet50 (ImageNet),0.42454662906695523,0.4697175784350052,0.48079631822690416,0.586628102921469,0.5064670954232433,0.4083554199095645,0.6849732960533919
Prov-GigaPath,UNI2-h,0.7735449353795135,0.778370955964524,0.49064097951632984,0.5944514980680622,0.6653738936290192,0.7167320615495001,0.8813071538618891
KEEP,ResNet50 (ImageNet),0.3415506507499306,0.36053730264901623,0.37113398171096373,0.5149159272432682,0.4956095454675454,0.33581333590874535,0.5979108138520205
KEEP,UNI2-h,0.6407384777500829,0.6520608388764626,0.6107425169771422,0.6724034025007231,0.5849758869668286,0.578680889016088,0.8089142800859167
ResNet50 (ImageNet),UNI2-h,0.2727056188202462,0.3132670677056532,0.48792460336314153,0.573998529294039,0.4672669117415702,0.2402669587325267,0.5578308156661618
