source,target,self,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
ctranspath,gigapath,False,0.6162644452612774,0.2552551369315227,0.7447448630684773,0.295,0.5794,0.6914,0.42514842766400035,0.42514842766400035,4.0,0.5417289941951303,5000.0,5000.0
ctranspath,keep,False,0.7344742177238593,0.2816298186623831,0.7183701813376169,0.2282,0.4766,0.5904,0.3464621345768654,0.3464621345768654,6.0,0.4717665838798195,5000.0,5000.0
ctranspath,resnet50,False,0.9658883403744665,0.6277069098547644,0.3722930901452356,0.6334,0.8426,0.8974,0.7269150735689475,0.7269150735689475,1.0,0.7859671536122367,5000.0,5000.0
ctranspath,uni_v2,False,0.5856779526423889,0.2480367441973801,0.7519632558026199,0.1986,0.437,0.5584,0.3162632110573327,0.3162632110573327,8.0,0.44681647088821735,5000.0,5000.0
gigapath,ctranspath,False,0.903451881299672,0.5554701070319682,0.4445298929680318,0.5912,0.8368,0.8936,0.698856931909177,0.698856931909177,1.0,0.764538196432254,5000.0,5000.0
gigapath,keep,False,0.7684497243527056,0.39062799751063115,0.6093720024893688,0.2628,0.5302,0.6448,0.38891562438789207,0.38891562438789207,5.0,0.5092043651757912,5000.0,5000.0
gigapath,resnet50,False,0.9623786835972,0.5900541365880778,0.40994586341192213,0.3504,0.622,0.7352,0.4762640599685166,0.4762640599685166,3.0,0.5827084673911401,5000.0,5000.0
gigapath,uni_v2,False,0.6345775319768203,0.3446660029272598,0.6553339970727402,0.2472,0.5232,0.6388,0.37802183621950625,0.37802183621950625,5.0,0.501258214646952,5000.0,5000.0
keep,ctranspath,False,0.8694437212180456,0.4008837835896163,0.5991162164103837,0.3582,0.652,0.7546,0.4913336936513587,0.4913336936513587,3.0,0.596868503545111,5000.0,5000.0
keep,gigapath,False,0.5872492679525404,0.21085451595276838,0.7891454840472316,0.1618,0.3922,0.5196,0.2760085456826663,0.2760085456826663,9.0,0.41303760495126196,5000.0,5000.0
keep,resnet50,False,0.9483442745702567,0.4404115528058362,0.5595884471941638,0.134,0.3306,0.4356,0.23368960870289485,0.23368960870289485,15.0,0.3711260936039282,5000.0,5000.0
keep,uni_v2,False,0.5800511475740966,0.24305937437927827,0.7569406256207217,0.1396,0.3594,0.4838,0.25036614377172905,0.25036614377172905,11.5,0.3901454654599341,5000.0,5000.0
resnet50,ctranspath,False,0.8970939883952277,0.5276727878220097,0.47232721217799034,0.6038,0.8148,0.8722,0.7002095352014415,0.7002095352014415,1.0,0.7643597614812788,5000.0,5000.0
resnet50,gigapath,False,0.5872264078352233,0.2151638238257504,0.7848361761742496,0.1524,0.3728,0.4942,0.2628565271611199,0.2628565271611199,11.0,0.40033629215061406,5000.0,5000.0
resnet50,keep,False,0.7014480521332014,0.21627320627928182,0.7837267937207182,0.105,0.2624,0.3558,0.18856905635872362,0.18856905635872362,24.0,0.3261353736750462,5000.0,5000.0
resnet50,uni_v2,False,0.5555864023191498,0.21087581647503473,0.7891241835249653,0.1098,0.2738,0.3824,0.1983060446080878,0.1983060446080878,19.0,0.3381146026332703,5000.0,5000.0
uni_v2,ctranspath,False,0.9012815049309028,0.5439443256914849,0.4560556743085151,0.5624,0.8168,0.882,0.6771532302241076,0.6771532302241076,1.0,0.7478020883891128,5000.0,5000.0
uni_v2,gigapath,False,0.6532076930415475,0.3317212784707396,0.6682787215292604,0.2816,0.5636,0.6882,0.4139057310785607,0.4139057310785607,4.0,0.5332395454834755,5000.0,5000.0
uni_v2,keep,False,0.7776112133292467,0.40883282503059537,0.5911671749694046,0.2954,0.569,0.6936,0.4236065005200837,0.4236065005200837,4.0,0.5401556765070276,5000.0,5000.0
uni_v2,resnet50,False,0.9611358385631622,0.5755290498999686,0.4244709501000314,0.3044,0.5822,0.69,0.43392932297415326,0.43392932297415326,4.0,0.5475240561454305,5000.0,5000.0
ctranspath,ctranspath,True,0.9578147496624132,0.8016934661144196,0.19830653388558037,0.9862,0.9952,0.9976,0.9901315077207157,0.9901315077207157,1.0,0.9923677761669234,5000.0,5000.0
gigapath,gigapath,True,0.7347603474222264,0.4748457551696157,0.5251542448303843,0.7672,0.9186,0.9452,0.8347737756468019,0.8347737756468019,1.0,0.8715311236110886,5000.0,5000.0
keep,keep,True,0.9181076198725445,0.7721147517744475,0.2278852482255525,0.9968,0.999,1.0,0.9978024603174602,0.9978024603174602,1.0,0.9983257769328038,5000.0,5000.0
resnet50,resnet50,True,0.9871675203250821,0.8623310764118178,0.13766892358818217,0.986,0.9968,0.9988,0.9908467700613888,0.9908467700613888,1.0,0.9930220493045628,5000.0,5000.0
uni_v2,uni_v2,True,0.7263604920367865,0.49474450496673594,0.5052554950332641,0.6212,0.8626,0.9204,0.7277035564381096,0.7277035564381096,1.0,0.7892844564511358,5000.0,5000.0
