source,target,cosine,r2
conch_v1,ctranspath,0.8738153128572884,0.4324320924944194
conch_v1,gigapath,0.6265387704139365,0.16824726293773573
conch_v1,keep,0.7715845577082855,0.36119965996018777
conch_v1,resnet50,0.939676916518767,0.4285376147530211
conch_v1,uni_v2,0.5951137825410082,0.1843925820321871
ctranspath,conch_v1,0.8441089063555555,0.5310441858289168
ctranspath,gigapath,0.6663483625049582,0.25546336423756366
ctranspath,keep,0.7578239820119913,0.3255366024726267
ctranspath,resnet50,0.9595380752234897,0.6158176057281799
ctranspath,uni_v2,0.6207398088585837,0.2335728138000014
gigapath,conch_v1,0.8591624475600677,0.5871435519226529
gigapath,ctranspath,0.9098798683849877,0.5972520796041384
gigapath,keep,0.7800947045178297,0.40812826975240646
gigapath,resnet50,0.9551098963619647,0.5761211512396841
gigapath,uni_v2,0.6470299533295302,0.2967837152298146
keep,conch_v1,0.8536693523423297,0.564097770572263
keep,ctranspath,0.8739941187464069,0.4371568665735712
keep,gigapath,0.6311102838009636,0.19113110853800064
keep,resnet50,0.9387065257949249,0.42390956964284243
keep,uni_v2,0.606586384491698,0.21367608244804692
resnet50,conch_v1,0.7978288149843975,0.4143790609172665
resnet50,ctranspath,0.9010744736401984,0.5579983088871647
resnet50,gigapath,0.6348060091300577,0.2095330581953394
resnet50,keep,0.7141765564659512,0.23744609968470487
resnet50,uni_v2,0.578257948694368,0.17067821353475854
uni_v2,conch_v1,0.8685503760172689,0.6101328040142879
uni_v2,ctranspath,0.908530129921324,0.5891534487856951
uni_v2,gigapath,0.6896965507984124,0.32073580385236644
uni_v2,keep,0.7974054933308754,0.44865250403453305
uni_v2,resnet50,0.9532623056713877,0.5577889901320705
