query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.6905,0.9005,0.946,0.7851586155293003,1.0,2000.0
ctranspath,conch_v1,0.6915,0.8815,0.929,0.7780471490893744,1.0,2000.0
conch_v1,gigapath,0.7775,0.936,0.967,0.8507428911046779,1.0,2000.0
gigapath,conch_v1,0.68,0.8825,0.925,0.7708591961341229,1.0,2000.0
conch_v1,keep,0.668,0.8845,0.932,0.7637506365927845,1.0,2000.0
keep,conch_v1,0.6385,0.874,0.9285,0.7407420725151678,1.0,2000.0
conch_v1,resnet50,0.4655,0.7695,0.8545,0.6025938386970797,2.0,2000.0
resnet50,conch_v1,0.408,0.6815,0.781,0.5329502424071423,2.0,2000.0
conch_v1,uni_v2,0.7945,0.9355,0.9625,0.8592628234952181,1.0,2000.0
uni_v2,conch_v1,0.705,0.906,0.945,0.7930760609032403,1.0,2000.0
ctranspath,gigapath,0.877,0.9585,0.9745,0.9129595188240825,1.0,2000.0
gigapath,ctranspath,0.835,0.9485,0.9715,0.8876458973862948,1.0,2000.0
ctranspath,keep,0.636,0.875,0.928,0.7434075589456607,1.0,2000.0
keep,ctranspath,0.6175,0.8735,0.931,0.7320009900619577,1.0,2000.0
ctranspath,resnet50,0.8225,0.9455,0.965,0.8749884919826721,1.0,2000.0
resnet50,ctranspath,0.7595,0.9245,0.963,0.8335102171805275,1.0,2000.0
ctranspath,uni_v2,0.8725,0.962,0.9785,0.9134015122715521,1.0,2000.0
uni_v2,ctranspath,0.8295,0.9555,0.977,0.887108541036299,1.0,2000.0
gigapath,keep,0.6975,0.8965,0.942,0.7860870150355949,1.0,2000.0
keep,gigapath,0.77,0.9415,0.9715,0.8462391395663591,1.0,2000.0
gigapath,resnet50,0.683,0.895,0.944,0.7781466097139419,1.0,2000.0
resnet50,gigapath,0.697,0.9035,0.9425,0.7899530627881987,1.0,2000.0
gigapath,uni_v2,0.911,0.974,0.988,0.9403918260292399,1.0,2000.0
uni_v2,gigapath,0.93,0.984,0.992,0.9541696560326605,1.0,2000.0
keep,resnet50,0.4015,0.7035,0.8125,0.5395972591334901,2.0,2000.0
resnet50,keep,0.3715,0.6645,0.773,0.5065679646231528,2.0,2000.0
keep,uni_v2,0.8255,0.9555,0.981,0.8844801589648966,1.0,2000.0
uni_v2,keep,0.76,0.9355,0.9675,0.8383205886599635,1.0,2000.0
resnet50,uni_v2,0.6305,0.8635,0.9245,0.7354979408573747,1.0,2000.0
uni_v2,resnet50,0.6375,0.8805,0.935,0.7430660921039803,1.0,2000.0
