query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.9735,0.999,1.0,0.9852638888888889,1.0,2000.0
ctranspath,conch_v1,0.9605,0.999,0.9995,0.9776510101010101,1.0,2000.0
conch_v1,gigapath,0.969,0.992,0.9955,0.9802603877331819,1.0,2000.0
gigapath,conch_v1,0.95,0.991,0.996,0.9679937676894256,1.0,2000.0
conch_v1,resnet50,0.9125,0.992,0.9985,0.9473079545454546,1.0,2000.0
resnet50,conch_v1,0.8815,0.979,0.991,0.9257827565408447,1.0,2000.0
conch_v1,uni_v2,0.976,0.997,0.9995,0.9859589285714286,1.0,2000.0
uni_v2,conch_v1,0.96,0.998,0.999,0.9769159090909091,1.0,2000.0
ctranspath,gigapath,0.9775,0.9955,0.999,0.9855527777777778,1.0,2000.0
gigapath,ctranspath,0.9745,0.9925,0.9975,0.9831506081780539,1.0,2000.0
ctranspath,resnet50,0.972,0.999,1.0,0.9836380952380953,1.0,2000.0
resnet50,ctranspath,0.9615,0.996,0.9995,0.9767609126984127,1.0,2000.0
ctranspath,uni_v2,0.986,0.9995,1.0,0.9918130952380952,1.0,2000.0
uni_v2,ctranspath,0.9855,0.999,1.0,0.9911500000000001,1.0,2000.0
gigapath,resnet50,0.9635,0.995,0.9965,0.9774306511544012,1.0,2000.0
resnet50,gigapath,0.953,0.9905,0.9965,0.9699955702630703,1.0,2000.0
gigapath,uni_v2,0.982,0.9945,0.998,0.9879421411921412,1.0,2000.0
uni_v2,gigapath,0.9855,0.9975,0.9985,0.9908662878787878,1.0,2000.0
resnet50,uni_v2,0.948,0.99,0.9975,0.9665534416971916,1.0,2000.0
uni_v2,resnet50,0.956,0.9965,0.9995,0.97438125,1.0,2000.0
