query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.968,0.996,0.9985,0.9806125,1.0,2000.0
ctranspath,conch_v1,0.957,0.995,0.9975,0.9732955600765988,1.0,2000.0
conch_v1,gigapath,0.9595,0.9925,0.997,0.9741309752415458,1.0,2000.0
gigapath,conch_v1,0.9465,0.9885,0.994,0.9649570883494477,1.0,2000.0
conch_v1,keep,0.9535,0.9885,0.994,0.968584488713277,1.0,2000.0
keep,conch_v1,0.9605,0.995,0.9975,0.9758446898934399,1.0,2000.0
conch_v1,resnet50,0.8615,0.9775,0.992,0.9128991399200047,1.0,2000.0
resnet50,conch_v1,0.8195,0.9525,0.9725,0.8782466880295209,1.0,2000.0
conch_v1,uni_v2,0.976,0.9935,0.997,0.9841846124336022,1.0,2000.0
uni_v2,conch_v1,0.972,0.9975,0.9995,0.9828720238095238,1.0,2000.0
ctranspath,gigapath,0.962,0.9895,0.9935,0.9742757386856675,1.0,2000.0
gigapath,ctranspath,0.967,0.992,0.9955,0.9782657523012892,1.0,2000.0
ctranspath,keep,0.949,0.989,0.9955,0.966912726337672,1.0,2000.0
keep,ctranspath,0.9585,0.9955,0.998,0.975606782106782,1.0,2000.0
ctranspath,resnet50,0.937,0.995,0.9985,0.9635877579365079,1.0,2000.0
resnet50,ctranspath,0.9335,0.9855,0.993,0.9567906972112855,1.0,2000.0
ctranspath,uni_v2,0.9765,0.995,0.9975,0.9854396986999927,1.0,2000.0
uni_v2,ctranspath,0.978,0.999,1.0,0.9870297619047619,1.0,2000.0
gigapath,keep,0.9455,0.981,0.99,0.9614752393174198,1.0,2000.0
keep,gigapath,0.9565,0.9895,0.9955,0.9714630955251645,1.0,2000.0
gigapath,resnet50,0.9195,0.9885,0.994,0.9500449107710043,1.0,2000.0
resnet50,gigapath,0.898,0.9705,0.984,0.9310392680053025,1.0,2000.0
gigapath,uni_v2,0.98,0.992,0.9955,0.9853043282543283,1.0,2000.0
uni_v2,gigapath,0.976,0.994,0.998,0.984205163812837,1.0,2000.0
keep,resnet50,0.8345,0.9685,0.989,0.8951425127473289,1.0,2000.0
resnet50,keep,0.7995,0.9245,0.954,0.8563034703061769,1.0,2000.0
keep,uni_v2,0.983,0.9985,0.9995,0.9899666900093371,1.0,2000.0
uni_v2,keep,0.9765,0.996,0.9985,0.98523139589169,1.0,2000.0
resnet50,uni_v2,0.887,0.9625,0.98,0.9219938926107084,1.0,2000.0
uni_v2,resnet50,0.9095,0.9905,0.9975,0.9459698017260517,1.0,2000.0
