query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.872,0.9815,0.9925,0.9189792785273124,1.0,2000.0
ctranspath,conch_v1,0.848,0.977,0.9885,0.9029938532399937,1.0,2000.0
conch_v1,gigapath,0.8205,0.953,0.9775,0.8796837922834545,1.0,2000.0
gigapath,conch_v1,0.796,0.945,0.9745,0.861857091021006,1.0,2000.0
conch_v1,keep,0.7925,0.951,0.9775,0.8625230627104333,1.0,2000.0
keep,conch_v1,0.77,0.949,0.974,0.8467669205662398,1.0,2000.0
conch_v1,resnet50,0.6345,0.892,0.9495,0.7491988356115886,1.0,2000.0
resnet50,conch_v1,0.5795,0.853,0.9265,0.6976891915697494,1.0,2000.0
conch_v1,uni_v2,0.8365,0.958,0.9815,0.8910844956717769,1.0,2000.0
uni_v2,conch_v1,0.781,0.951,0.977,0.8543219628825409,1.0,2000.0
ctranspath,gigapath,0.8705,0.966,0.9805,0.9131015524346638,1.0,2000.0
gigapath,ctranspath,0.87,0.963,0.98,0.9109288110573207,1.0,2000.0
ctranspath,keep,0.8,0.95,0.978,0.866847014618514,1.0,2000.0
keep,ctranspath,0.7945,0.96,0.9805,0.8663353959657857,1.0,2000.0
ctranspath,resnet50,0.866,0.971,0.986,0.9108813316662929,1.0,2000.0
resnet50,ctranspath,0.839,0.959,0.978,0.8922437282672752,1.0,2000.0
ctranspath,uni_v2,0.87,0.971,0.988,0.914844669351372,1.0,2000.0
uni_v2,ctranspath,0.849,0.967,0.9835,0.9005285858335447,1.0,2000.0
gigapath,keep,0.779,0.9335,0.9645,0.8496666642600236,1.0,2000.0
keep,gigapath,0.796,0.944,0.972,0.8629578156236216,1.0,2000.0
gigapath,resnet50,0.6975,0.9345,0.97,0.7999505781879368,1.0,2000.0
resnet50,gigapath,0.6695,0.904,0.948,0.7737144538825591,1.0,2000.0
gigapath,uni_v2,0.91,0.9765,0.989,0.9405485051082176,1.0,2000.0
uni_v2,gigapath,0.91,0.973,0.986,0.9385331866814633,1.0,2000.0
keep,resnet50,0.5235,0.822,0.9115,0.6555307829041405,1.0,2000.0
resnet50,keep,0.503,0.7935,0.872,0.6305392179007995,1.0,2000.0
keep,uni_v2,0.8515,0.9735,0.988,0.9045453005108488,1.0,2000.0
uni_v2,keep,0.828,0.9595,0.982,0.8854347002650452,1.0,2000.0
resnet50,uni_v2,0.602,0.855,0.9185,0.7153760762920349,1.0,2000.0
uni_v2,resnet50,0.6295,0.8865,0.949,0.7425782379353927,1.0,2000.0
