model_a,model_b,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
CONCH,CTransPath,0.6856541320125065,0.7197738267912237,0.6207471853607336,0.6562644504672952,0.6625461740305161,0.6697781548127406,0.8554748578752843
CONCH,Prov-GigaPath,0.5983115588892792,0.6216968888618194,0.7320199506510948,0.7246155016150451,0.5289891827562098,0.5518446639501768,0.7934889136288472
CONCH,KEEP,0.783675322584225,0.8028103753402591,0.6139864043581367,0.6358057803678445,0.6859581184984528,0.76188685113159,0.8984403833683257
CONCH,ResNet50 (ImageNet),0.6667951347290064,0.6907746249662847,0.5290892007910796,0.5927555496638914,0.609951524251297,0.6483949157190869,0.8344610716810806
CONCH,UNI2-h,0.672171493242047,0.7062319491336441,0.755052271538905,0.7309500371361173,0.5284534456606224,0.6505278394362225,0.8470582676997949
CTransPath,Prov-GigaPath,0.6680223360995688,0.6905751294127025,0.6499991838567348,0.7034257595263023,0.6401738421365862,0.6142652714673892,0.8330165912808968
CTransPath,KEEP,0.6495226618439397,0.6739788020868559,0.45252963948758435,0.5661368058106311,0.6476111726084426,0.5999122092263561,0.8234006787395789
CTransPath,ResNet50 (ImageNet),0.7194069827457229,0.7478886476995511,0.48508271394245134,0.6158554618904708,0.7200370741688101,0.7167159664407824,0.866900809457726
CTransPath,UNI2-h,0.6799845596685875,0.7079271224062409,0.6638907283841856,0.6964105484839287,0.6117307052151721,0.6375390614403653,0.844406659736561
Prov-GigaPath,KEEP,0.5875732315992848,0.6016451069091451,0.5902136598650718,0.6688164541623258,0.5798725340045571,0.5152460228586094,0.7762906079569662
Prov-GigaPath,ResNet50 (ImageNet),0.6257855772809993,0.6413676205724992,0.49729270597957453,0.5940199007828554,0.549301975760161,0.5804855296618904,0.8021445193969395
Prov-GigaPath,UNI2-h,0.6443787404441239,0.6669128806458372,0.5060605671769455,0.6050591648116589,0.6633353099240272,0.5636019743753584,0.8152910545675784
KEEP,ResNet50 (ImageNet),0.5721948653876041,0.5803495955440505,0.3699204330232888,0.524060494065927,0.5578009950697481,0.531542096865174,0.7621800966971843
KEEP,UNI2-h,0.7209738868186214,0.7485601848749156,0.6318795180959834,0.6870027870666647,0.6032484853730019,0.6505750891282439,0.8680696805027924
ResNet50 (ImageNet),UNI2-h,0.5379340946966543,0.5625055988817661,0.5061788603930077,0.5774468057206195,0.5037244353917516,0.5076198726438788,0.7524336644216949
