source,target,cosine,r2
gpfm,hoptimus0,0.6043298119842287,0.32383701687421584
gpfm,virchow,0.8614677778822537,0.5512173550842547
gpfm,virchow2,0.7949563873792588,0.5164876670023844
hoptimus0,gpfm,0.6486767632110121,0.38852527253930436
hoptimus0,virchow,0.8613153206439279,0.550849760936307
hoptimus0,virchow2,0.7938891663356166,0.5147391556003285
virchow,gpfm,0.6471152392689219,0.3858420248158331
virchow,hoptimus0,0.6044969656654894,0.32322901388023606
virchow,virchow2,0.7967282021981662,0.519698793012618
virchow2,gpfm,0.6514491754481063,0.39222066371365594
virchow2,hoptimus0,0.6049895788151275,0.3248054079537319
virchow2,virchow,0.8630521421516664,0.5568399960761916
