condition,query,database,same_model,recall@1,recall@5,recall@10,map,mrr,median_rank,ndcg,n_query,n_database
unaligned_pca,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_pca,gpfm,hoptimus0,False,0.0002,0.001,0.0024,0.0017186388968814274,0.0017186388968814274,2857.5,0.09296689435277586,5000.0,5000.0
unaligned_pca,gpfm,virchow,False,0.0002,0.0018,0.0034,0.0030606392690392843,0.0030606392690392843,1500.0,0.10300323920548289,5000.0,5000.0
unaligned_pca,gpfm,virchow2,False,0.0002,0.0002,0.0002,0.0008932996690047921,0.0008932996690047921,3089.0,0.09009091174572,5000.0,5000.0
unaligned_pca,hoptimus0,gpfm,False,0.0,0.0016,0.0024,0.0014574465669131213,0.0014574465669131213,2892.5,0.09209483513567084,5000.0,5000.0
unaligned_pca,hoptimus0,hoptimus0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_pca,hoptimus0,virchow,False,0.0,0.0004,0.0004,0.0007489545411536777,0.0007489545411536777,3382.5,0.08857358021372608,5000.0,5000.0
unaligned_pca,hoptimus0,virchow2,False,0.0002,0.0004,0.0008,0.0015271393379032681,0.0015271393379032681,2469.0,0.0946211850290676,5000.0,5000.0
unaligned_pca,virchow,gpfm,False,0.0006,0.0012,0.0032,0.002916767382824537,0.002916767382824537,1518.0,0.1012512197003259,5000.0,5000.0
unaligned_pca,virchow,hoptimus0,False,0.0,0.0002,0.0002,0.000539512712222816,0.000539512712222816,3422.5,0.08788101723384362,5000.0,5000.0
unaligned_pca,virchow,virchow,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_pca,virchow,virchow2,False,0.0,0.0006,0.0012,0.0014573681778962144,0.0014573681778962144,2752.5,0.09338245739835861,5000.0,5000.0
unaligned_pca,virchow2,gpfm,False,0.0002,0.0008,0.0014,0.001109809982292,0.001109809982292,3070.0,0.09051930933025969,5000.0,5000.0
unaligned_pca,virchow2,hoptimus0,False,0.0002,0.0008,0.0016,0.001551966786397286,0.001551966786397286,2533.5,0.09430229555827563,5000.0,5000.0
unaligned_pca,virchow2,virchow,False,0.0002,0.0006,0.0018,0.001412251172539143,0.001412251172539143,2727.5,0.09270618514827418,5000.0,5000.0
unaligned_pca,virchow2,virchow2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_truncate,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_truncate,gpfm,hoptimus0,False,0.0006,0.0016,0.0032,0.0023869969447578667,0.0023869969447578667,2460.0,0.09567574402472356,5000.0,5000.0
unaligned_truncate,gpfm,virchow,False,0.0,0.0004,0.0012,0.0016170412934811025,0.0016170412934811025,2230.0,0.0959951542855242,5000.0,5000.0
unaligned_truncate,gpfm,virchow2,False,0.0,0.001,0.0014,0.0015840587435366062,0.0015840587435366062,2444.0,0.09477309377360625,5000.0,5000.0
unaligned_truncate,hoptimus0,gpfm,False,0.0002,0.0016,0.0024,0.002002626320126857,0.002002626320126857,2468.0,0.09522534373977408,5000.0,5000.0
unaligned_truncate,hoptimus0,hoptimus0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_truncate,hoptimus0,virchow,False,0.0002,0.0014,0.0026,0.0020475342356356344,0.0020475342356356344,2188.5,0.09662193076973065,5000.0,5000.0
unaligned_truncate,hoptimus0,virchow2,False,0.0002,0.0014,0.003,0.0021488011714542628,0.0021488011714542628,2410.0,0.09599019179530763,5000.0,5000.0
unaligned_truncate,virchow,gpfm,False,0.0,0.0008,0.0016,0.0015599406280516126,0.0015599406280516126,2219.5,0.095813660480974,5000.0,5000.0
unaligned_truncate,virchow,hoptimus0,False,0.0004,0.0006,0.0012,0.001935218213954363,0.001935218213954363,2191.5,0.09651683447481939,5000.0,5000.0
unaligned_truncate,virchow,virchow,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_truncate,virchow,virchow2,False,0.0002,0.0006,0.0014,0.0017452624080162632,0.0017452624080162632,2448.5,0.09504113219539397,5000.0,5000.0
unaligned_truncate,virchow2,gpfm,False,0.0002,0.0012,0.0022,0.0017710052784144573,0.0017710052784144573,2450.0,0.09498833370594098,5000.0,5000.0
unaligned_truncate,virchow2,hoptimus0,False,0.0004,0.0012,0.0026,0.002190085615765033,0.002190085615765033,2406.0,0.09608758858354466,5000.0,5000.0
unaligned_truncate,virchow2,virchow,False,0.0004,0.0008,0.0018,0.0018764699593139238,0.0018764699593139238,2451.5,0.09512650117388045,5000.0,5000.0
unaligned_truncate,virchow2,virchow2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
joint_pca,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
joint_pca,gpfm,hoptimus0,False,0.9764,0.9962,0.9986,0.9853452294426246,0.9853452294426246,1.0,0.9889003786333407,5000.0,5000.0
joint_pca,gpfm,virchow,False,0.971,0.9952,0.9984,0.9822968975094932,0.9822968975094932,1.0,0.9866185105424639,5000.0,5000.0
joint_pca,gpfm,virchow2,False,0.959,0.993,0.9974,0.974006714174313,0.974006714174313,1.0,0.980284036261553,5000.0,5000.0
joint_pca,hoptimus0,gpfm,False,0.9798,0.9958,0.9978,0.9871911543162718,0.9871911543162718,1.0,0.9902662287007111,5000.0,5000.0
joint_pca,hoptimus0,hoptimus0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
joint_pca,hoptimus0,virchow,False,0.9676,0.993,0.9964,0.9791535145278977,0.9791535145278977,1.0,0.9841263786773887,5000.0,5000.0
joint_pca,hoptimus0,virchow2,False,0.9536,0.99,0.9946,0.9694814674803339,0.9694814674803339,1.0,0.976709832772703,5000.0,5000.0
joint_pca,virchow,gpfm,False,0.9788,0.9966,0.9994,0.9870511854811855,0.9870511854811855,1.0,0.9902531936222569,5000.0,5000.0
joint_pca,virchow,hoptimus0,False,0.9744,0.9966,0.9996,0.9843988210288211,0.9843988210288211,1.0,0.9882528058400003,5000.0,5000.0
joint_pca,virchow,virchow,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
joint_pca,virchow,virchow2,False,0.9644,0.9956,0.9984,0.979061170815899,0.979061170815899,1.0,0.984242649878997,5000.0,5000.0
joint_pca,virchow2,gpfm,False,0.969,0.9948,0.9978,0.9809163800271066,0.9809163800271066,1.0,0.9855446947537766,5000.0,5000.0
joint_pca,virchow2,hoptimus0,False,0.9598,0.9922,0.9974,0.9746166323125017,0.9746166323125017,1.0,0.9807695803760814,5000.0,5000.0
joint_pca,virchow2,virchow,False,0.9666,0.9956,0.9978,0.9796586839914471,0.9796586839914471,1.0,0.9846716741039243,5000.0,5000.0
joint_pca,virchow2,virchow2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
gcca,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
gcca,gpfm,hoptimus0,False,0.9936,0.9994,0.9998,0.9961477380952382,0.9961477380952382,1.0,0.9971062830839892,5000.0,5000.0
gcca,gpfm,virchow,False,0.9968,1.0,1.0,0.99835,0.99835,1.0,0.998778924572329,5000.0,5000.0
gcca,gpfm,virchow2,False,0.9974,0.9998,0.9998,0.9984928571428571,0.9984928571428571,1.0,0.998866657632887,5000.0,5000.0
gcca,hoptimus0,gpfm,False,0.9956,0.9998,1.0,0.9975700000000001,0.9975700000000001,1.0,0.9981891094390212,5000.0,5000.0
gcca,hoptimus0,hoptimus0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
gcca,hoptimus0,virchow,False,0.9938,0.9996,1.0,0.99645,0.99645,1.0,0.9973523372007436,5000.0,5000.0
gcca,hoptimus0,virchow2,False,0.9956,0.9994,1.0,0.9972966666666667,0.9972966666666667,1.0,0.9979688321553447,5000.0,5000.0
gcca,virchow,gpfm,False,0.997,1.0,1.0,0.99835,0.99835,1.0,0.9987741807694718,5000.0,5000.0
gcca,virchow,hoptimus0,False,0.9916,0.9988,0.9998,0.9949875274725275,0.9949875274725275,1.0,0.996234236256118,5000.0,5000.0
gcca,virchow,virchow,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
gcca,virchow,virchow2,False,0.9964,0.9998,1.0,0.9978833333333333,0.9978833333333333,1.0,0.9984176928301229,5000.0,5000.0
gcca,virchow2,gpfm,False,0.9978,1.0,1.0,0.99874,0.99874,1.0,0.999060672216447,5000.0,5000.0
gcca,virchow2,hoptimus0,False,0.9922,0.9994,0.9998,0.9953065151515151,0.9953065151515151,1.0,0.996477817549305,5000.0,5000.0
gcca,virchow2,virchow,False,0.9956,1.0,1.0,0.9974833333333332,0.9974833333333332,1.0,0.9981250092448442,5000.0,5000.0
gcca,virchow2,virchow2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
mcca,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
mcca,gpfm,hoptimus0,False,0.9114,0.9764,0.989,0.9416213893255259,0.9416213893255259,1.0,0.9553835522426855,5000.0,5000.0
mcca,gpfm,virchow,False,0.9206,0.9824,0.991,0.9481644631952489,0.9481644631952489,1.0,0.9605112645769468,5000.0,5000.0
mcca,gpfm,virchow2,False,0.9536,0.9896,0.9966,0.9703158243722697,0.9703158243722697,1.0,0.9774757586677307,5000.0,5000.0
