source,target,self,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
gpfm,hoptimus0,False,0.5725547848944011,0.27666530937982525,0.7233346906201747,0.3946,0.6686,0.7578,0.5192665606461484,0.5192665606461484,2.0,0.6175614766290968,5000.0,5000.0
gpfm,virchow,False,0.8383718141905233,0.46985739208929156,0.5301426079107084,0.4104,0.6074,0.6788,0.503888820522856,0.503888820522856,2.0,0.5928421201560474,5000.0,5000.0
gpfm,virchow2,False,0.7490417624187281,0.40276021935761264,0.5972397806423874,0.407,0.6022,0.669,0.49732460811571055,0.49732460811571055,3.0,0.5880822087467704,5000.0,5000.0
hoptimus0,gpfm,False,0.6143566924762595,0.34422636730319267,0.6557736326968073,0.5686,0.8042,0.8674,0.6754618401523815,0.6754618401523815,1.0,0.7454305954047137,5000.0,5000.0
hoptimus0,virchow,False,0.8496859810015861,0.5105364525190883,0.4894635474809117,0.4712,0.6502,0.7094,0.5533255394836053,0.5533255394836053,2.0,0.633411252118688,5000.0,5000.0
hoptimus0,virchow2,False,0.7706967675099877,0.4603250674419963,0.5396749325580037,0.4412,0.6384,0.6986,0.5321824289544252,0.5321824289544252,2.0,0.6184409567537282,5000.0,5000.0
virchow,gpfm,False,0.6115479288222768,0.33594563531966903,0.664054364680331,0.548,0.7866,0.854,0.6554586014137075,0.6554586014137075,1.0,0.7293238526056248,5000.0,5000.0
virchow,hoptimus0,False,0.5882171382796227,0.3003604364924609,0.6996395635075391,0.4244,0.695,0.781,0.5476133433109985,0.5476133433109985,2.0,0.6417086331673452,5000.0,5000.0
virchow,virchow2,False,0.7735569455816371,0.460357074296862,0.539642925703138,0.4674,0.6636,0.7298,0.5583964486859717,0.5583964486859717,2.0,0.6415448888048867,5000.0,5000.0
virchow2,gpfm,False,0.6125960130820736,0.3406837404744637,0.6593162595255363,0.5968,0.8242,0.8812,0.6978046487963603,0.6978046487963603,1.0,0.763481264402447,5000.0,5000.0
virchow2,hoptimus0,False,0.5881913569790836,0.30201311004127407,0.6979868899587259,0.445,0.7098,0.7924,0.5662006117740653,0.5662006117740653,2.0,0.6565440071048226,5000.0,5000.0
virchow2,virchow,False,0.8503858208913205,0.513244106157701,0.486755893842299,0.467,0.666,0.7232,0.5573098140075108,0.5573098140075108,2.0,0.6382868471367154,5000.0,5000.0
gpfm,gpfm,True,0.7086080503902827,0.48269374056786796,0.517306259432132,0.8236,0.9502,0.9732,0.8800818733623684,0.8800818733623684,1.0,0.9079476686593951,5000.0,5000.0
hoptimus0,hoptimus0,True,0.6478934782899698,0.38769945259667793,0.6123005474033221,0.7158,0.9012,0.943,0.7976568038688765,0.7976568038688765,1.0,0.8434939322142156,5000.0,5000.0
virchow,virchow,True,0.9019199555880463,0.6803719207598984,0.31962807924010156,0.7728,0.9126,0.9422,0.8340322439850246,0.8340322439850246,1.0,0.8702459446140094,5000.0,5000.0
virchow2,virchow2,True,0.8759032892828692,0.7017363087946693,0.29826369120533075,0.9138,0.9774,0.9882,0.9421473289955796,0.9421473289955796,1.0,0.955680340727211,5000.0,5000.0
