source,target,cosine,r2
ctranspath,gigapath,0.8760268425840928,0.5062239611872458
ctranspath,keep,0.8468685983114642,0.5500310873485279
ctranspath,resnet50,0.9748545247624438,0.7634393604410528
ctranspath,uni_v2,0.7334955841365712,0.4115858387563279
gigapath,ctranspath,0.9473747030076303,0.7561846765041309
gigapath,keep,0.8528721745327315,0.5677221759047261
gigapath,resnet50,0.9722664445505967,0.739800372153502
gigapath,uni_v2,0.7426696716357195,0.4311661351820619
keep,ctranspath,0.9318483046770614,0.6867517768120432
keep,gigapath,0.8658717036613227,0.4679138153211011
keep,resnet50,0.9646522699005285,0.6695523428954324
keep,uni_v2,0.7339228570609456,0.4151616629852932
resnet50,ctranspath,0.9358087787466449,0.7050086647184721
resnet50,gigapath,0.8599088945048969,0.4413247774985477
resnet50,keep,0.8026289665026165,0.43572682594178724
resnet50,uni_v2,0.6919524373910285,0.3330251661614577
uni_v2,ctranspath,0.9449691983075348,0.7449650918929919
uni_v2,gigapath,0.879334433706879,0.5196702040019952
uni_v2,keep,0.8695217290049109,0.6133317852925322
uni_v2,resnet50,0.9701025139851828,0.7197123993192229
