source,target,cosine,r2
ctranspath,gigapath,0.8353420897677799,0.3376923786902295
ctranspath,keep,0.7493030080373841,0.19597083526264247
ctranspath,resnet50,0.9393461076665197,0.4102384269502197
ctranspath,uni_v2,0.667670301034188,0.2532395012753499
gigapath,ctranspath,0.8921066429619371,0.4818523519723307
gigapath,keep,0.7414233815648895,0.17588802586635055
gigapath,resnet50,0.9259707008732517,0.28407096441182744
gigapath,uni_v2,0.6736863842528349,0.27052042080816585
keep,ctranspath,0.8517479178750692,0.3269956005909562
keep,gigapath,0.7986327071537569,0.20806836923859728
keep,resnet50,0.907960660348885,0.1259009676029873
keep,uni_v2,0.657916261854766,0.259834749090222
resnet50,ctranspath,0.8863144214269492,0.47283544711155334
resnet50,gigapath,0.8150554871991947,0.25406302337932907
resnet50,keep,0.7036727484331649,0.09827085453141038
resnet50,uni_v2,0.6071347721436265,0.14609373060447328
uni_v2,ctranspath,0.8784086190709739,0.4302498509064653
uni_v2,gigapath,0.8309950474433103,0.3186865412252099
uni_v2,keep,0.7860499414411783,0.3275340757321533
uni_v2,resnet50,0.9135644661140448,0.1555225659169539
