query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.804,0.9135,0.9425,0.8535271536605825,1.0,2000.0
gigapath,ctranspath,0.8315,0.932,0.949,0.8754962789973008,1.0,2000.0
ctranspath,keep,0.45,0.739,0.837,0.5829030774067812,2.0,2000.0
keep,ctranspath,0.408,0.705,0.8185,0.5434517916504195,2.0,2000.0
ctranspath,resnet50,0.726,0.903,0.9415,0.8041081981437805,1.0,2000.0
resnet50,ctranspath,0.6485,0.83,0.8905,0.733757498431326,1.0,2000.0
ctranspath,uni_v2,0.722,0.919,0.956,0.80833397706533,1.0,2000.0
uni_v2,ctranspath,0.6535,0.8835,0.94,0.752345085674865,1.0,2000.0
gigapath,keep,0.4725,0.7545,0.822,0.5976956950428376,2.0,2000.0
keep,gigapath,0.426,0.7005,0.794,0.551235807941627,2.0,2000.0
gigapath,resnet50,0.4685,0.7725,0.8535,0.6041052629009088,2.0,2000.0
resnet50,gigapath,0.3525,0.621,0.726,0.4800961176980551,3.0,2000.0
gigapath,uni_v2,0.785,0.9235,0.954,0.8474584997312293,1.0,2000.0
uni_v2,gigapath,0.7085,0.888,0.929,0.7914862547519477,1.0,2000.0
keep,resnet50,0.1505,0.3655,0.489,0.25835626611904006,11.0,2000.0
resnet50,keep,0.1265,0.3185,0.4365,0.22680975898606676,15.0,2000.0
keep,uni_v2,0.603,0.8545,0.9145,0.716422591801056,1.0,2000.0
uni_v2,keep,0.558,0.811,0.8845,0.6737166590159143,1.0,2000.0
resnet50,uni_v2,0.244,0.4795,0.5845,0.3579103702908853,6.0,2000.0
uni_v2,resnet50,0.267,0.539,0.663,0.3955765015869255,5.0,2000.0
