model_a,model_b,divergence_depth,early_similarity,late_similarity,early_minus_late,threshold
conch_v1,resnet50,1.0,0.8180532537938225,0.7594037830378055,0.05864947075601701,0.5
conch_v1,ctranspath,0.45454545454545453,0.4968073326538125,0.4440564927731493,0.0527508398806632,0.5
ctranspath,gigapath,0.2727272727272727,0.4051481160017027,0.3883474736722,0.01680064232950268,0.5
uni_v2,ctranspath,0.0,0.4381247357542468,0.42770597489687306,0.010418760857373754,0.5
ctranspath,resnet50,0.2727272727272727,0.4206557182170201,0.4238636869662825,-0.0032079687492624354,0.5
uni_v2,conch_v1,1.0,0.8358706139239167,0.945937904314557,-0.11006729039064034,0.5
uni_v2,resnet50,1.0,0.6228973160809731,0.7372630364041415,-0.11436572032316838,0.5
uni_v2,gigapath,1.0,0.8159910699507725,0.9323088102123127,-0.11631774026154018,0.5
conch_v1,gigapath,1.0,0.8086481210710037,0.9556934992574512,-0.14704537818644747,0.5
gigapath,resnet50,1.0,0.5962788975660821,0.7874681522926334,-0.19118925472655135,0.5
