,layers.0.blocks.0,layers.1.blocks.0,layers.2.blocks.0,layers.3.blocks.0,layers.0.blocks.1,layers.1.blocks.1,layers.2.blocks.1,layers.3.blocks.1,layers.2.blocks.2,layers.2.blocks.3,layers.2.blocks.4,layers.2.blocks.5
trunk.blocks.0,0.44988693419611075,0.4572786901345572,0.4569579552904849,0.4420710048518982,0.4514884395455521,0.4508188633293409,0.41272790348361976,0.31299592951622124,0.412123506581994,0.38030241359135414,0.39043771629086743,0.3905214251426552
trunk.blocks.1,0.4049115752803131,0.445539139455046,0.49301223887148304,0.44563771095017085,0.41296104379067544,0.452630520353219,0.43746337713507255,0.29577371541980596,0.4343026142486702,0.3968911127267936,0.3969793400952612,0.383180640145884
trunk.blocks.2,0.3786809511892077,0.4416835864942708,0.5166472788818933,0.4739860383418369,0.390855397262669,0.46131232780675613,0.4561802727511406,0.3115743864171918,0.4519950209848183,0.4118611687837537,0.4075382173841114,0.38377146146119107
trunk.blocks.3,0.3092812613779187,0.4009256478820848,0.5202911227273165,0.457607113631413,0.3280169996151408,0.4370110948648994,0.4552602729897637,0.2886579465850225,0.4477767421775236,0.4042633232970694,0.3924822888653674,0.3561331812249599
trunk.blocks.4,0.2577702577557228,0.3681027936757883,0.5068005327497124,0.45249206256730085,0.27938981644131977,0.41450927443091434,0.44237930920032603,0.2795401239458979,0.4339310111572558,0.391032883283771,0.37681348601538517,0.3336984168157058
trunk.blocks.5,0.21452615870683958,0.33505356779220286,0.4739488996488258,0.4431415258497188,0.23824589071499191,0.3875148810351829,0.41473881947801683,0.2688052325973159,0.404960004861632,0.36396685069931556,0.3495105735222809,0.30266700878338587
trunk.blocks.6,0.2007676083438208,0.3224810661934726,0.46398524674032343,0.43673089951744415,0.2247741501475558,0.3760009158482309,0.40692046722953823,0.26367015632599416,0.39748815442683566,0.35741164337107684,0.3432410825126545,0.29552977685092613
trunk.blocks.7,0.19329276046615484,0.31265920419026494,0.44900317482778385,0.4327433054620067,0.2167722449761297,0.36580358526150814,0.39474167450207887,0.2623827364535457,0.3857092286054104,0.3469217532939149,0.333775146315538,0.28628511989482225
trunk.blocks.8,0.19900804184658402,0.3163264940248802,0.44622927679912117,0.4382122719183882,0.22197205408247667,0.36862110280405735,0.3935341516132428,0.26796527710031093,0.3847280698549007,0.34677714916452307,0.3348938879539802,0.28812840241091237
trunk.blocks.9,0.2020204020944175,0.31736121581493304,0.445124005155038,0.441466324828278,0.22451048960529668,0.3689381039443466,0.3929859409753578,0.2721534230318999,0.38495007016862626,0.34760567263819386,0.33607666032380795,0.28974655087995643
trunk.blocks.10,0.1998242108206296,0.3142388871310899,0.4413752801619338,0.4397928919426571,0.22205431015290936,0.36575622179770156,0.3895822375137028,0.2724955032965936,0.38158425055618994,0.34479068905848825,0.333328800520081,0.28711287141349995
trunk.blocks.11,0.20195702123614057,0.3150883871987803,0.44349740897650414,0.4396802857451199,0.22411253357624875,0.36613966583125535,0.3914192885280354,0.2728213665377615,0.3836527482062309,0.34684865430808987,0.33554599610500346,0.2898519065109211
