,blocks.0,blocks.1,blocks.2,blocks.3,blocks.4,blocks.5,blocks.6,blocks.7,blocks.8,blocks.9,blocks.10,blocks.11,blocks.12,blocks.13,blocks.14,blocks.15,blocks.16,blocks.17,blocks.18,blocks.19,blocks.20,blocks.21,blocks.22,blocks.23,blocks.24,blocks.25,blocks.26,blocks.27,blocks.28,blocks.29,blocks.30,blocks.31,blocks.32,blocks.33,blocks.34,blocks.35,blocks.36,blocks.37,blocks.38,blocks.39
trunk.blocks.0,0.04882310589231368,0.05148140345896027,0.17941866179792867,0.4871377961160239,0.5111694399584131,0.560012261697593,0.594613504714089,0.6293896603560496,0.6389736452930349,0.6410515753152458,0.6386027528876493,0.6490920228787852,0.6458876709600339,0.6330053829830391,0.6257615596634419,0.5993478671179797,0.5728904493137181,0.5527931276269001,0.5321160612625352,0.5183620105780793,0.501705661089248,0.4900680747346454,0.4771103604160388,0.4613925081042778,0.4474956453234922,0.43385488505432945,0.4323056623985342,0.4345638921150289,0.4426580254154286,0.44692313044967746,0.44930800185323916,0.4568103201365786,0.45754660167164196,0.4561401045829227,0.4511982467039877,0.43538168087797796,0.4176282702679399,0.4046623811514475,0.4008861531753627,0.4240079699826896
trunk.blocks.1,0.09384042966105444,0.10048084412811584,0.3222012946511752,0.5733546452321849,0.5937835495963084,0.6501766566166853,0.6917963528427034,0.7343221397719815,0.7532347946713295,0.7647828135754965,0.7686566901959091,0.7778473760663203,0.7772527919096461,0.7686848307509191,0.7608455368297827,0.7408386612085007,0.7217851188590743,0.7031724248445437,0.6844210704646105,0.6725398124788677,0.6567835144883024,0.6468429595472669,0.6335651591529252,0.6156562164878803,0.604243280504419,0.594305495489724,0.592937583922454,0.5943595761933851,0.6028030935225358,0.6073891898674403,0.6100624496090725,0.614733620147638,0.6127649466838067,0.608096300583569,0.5998689717380078,0.584708597131981,0.5659400579457986,0.5523977925333442,0.5481819908626939,0.5642068905118053
trunk.blocks.2,0.1296467177143827,0.14131634707301285,0.45171923693060667,0.6615968960950193,0.6736570411511408,0.7236839953579602,0.7622360336313315,0.8085928932678507,0.8331638979370907,0.8513116815774817,0.8610306751815763,0.870614696048182,0.8725834846999704,0.8678094496358117,0.8614341575519537,0.8468846260394695,0.8319298079127475,0.8173315329397155,0.8030789136551696,0.7929014115211529,0.7778072465933212,0.7661750342497793,0.7458942391066381,0.7180061745790149,0.7080576276448711,0.7000030196658537,0.6972547195382821,0.7005516766128014,0.7132782677196513,0.7245374999864128,0.7293420943113808,0.7334886366858546,0.7334667524180842,0.7312077607770487,0.7248467305310342,0.7118557825844298,0.6944441531726783,0.6808795038986991,0.6751211257713742,0.6838533661530174
trunk.blocks.3,0.1510602670445232,0.1661262410821443,0.5664073089538614,0.700229307724828,0.7017101693009697,0.7449497474285286,0.7785632005610388,0.8290879346714526,0.861339715822282,0.8889621776148937,0.9108757329113972,0.9232305106934896,0.931886495136303,0.9350696006389387,0.9347627624005239,0.9313207414221155,0.9254098496354137,0.9179049768153071,0.9090673389534791,0.9013447346841863,0.8894931754677032,0.8802113218865538,0.8614726873183679,0.8307272481744694,0.8232585100627804,0.8168403921472656,0.8129697065161073,0.815426038463037,0.8292632157844362,0.8436030343331777,0.8488938533062351,0.8503277851741746,0.8504892779885979,0.8481351437652249,0.8419012400844926,0.830941056909328,0.8146151352033308,0.8018558340024226,0.7946000593413902,0.7949543235434987
trunk.blocks.4,0.1629642284168372,0.17953615874139603,0.6245357129846347,0.7141142844386038,0.7121978617677285,0.7477417154250267,0.7757545218322729,0.8255657869054633,0.8604682621567747,0.8930602377662286,0.9197676040287942,0.9331232783435872,0.9452168359358573,0.9544066797082624,0.957748825351555,0.9606677480699926,0.960869402229166,0.9581510087110814,0.954937953781139,0.9509725297058838,0.9430152468403961,0.9341624396664233,0.912474926912868,0.8775407732392034,0.8731141615934641,0.8677554283097818,0.8624535047946902,0.8654112983165394,0.8812775379644439,0.8985930440717095,0.9044587607713123,0.9049242741035485,0.9036664913240112,0.9018643691593604,0.8944752807857741,0.884848614690901,0.8703515414971863,0.8587716764361032,0.850936808552629,0.8448425682930639
trunk.blocks.5,0.1633509905631914,0.17987626704980417,0.6338193237417835,0.6979753074769129,0.6959004967631641,0.7243071698503314,0.7464400592966877,0.793811790455457,0.8299397829928367,0.8658627783099115,0.895256066454331,0.9104188231758953,0.9263018238094592,0.940772901185058,0.9498118815877221,0.9578156158642903,0.9621343982755235,0.9657571471332259,0.9682231679151909,0.9693684186311359,0.9676574303994401,0.9610584346612236,0.9373516059533192,0.9012325399970641,0.8992702170518218,0.8914060664586616,0.8863885648913323,0.8899981851860715,0.9068235818413023,0.9244424873109571,0.9289824875137938,0.9290767862294069,0.9261979241072358,0.9248141442962796,0.9155582789219495,0.9071982442481246,0.8959397771473248,0.8870218882433372,0.8798212066764953,0.8703335918237184
trunk.blocks.6,0.15835207554191932,0.1743067104301412,0.6252406120544961,0.6827263838783083,0.6800176544946869,0.7080658088844269,0.7297475915277964,0.7773929318522979,0.8142209847972015,0.8513683700743988,0.8819594445495179,0.8983169570147488,0.91587270209762,0.9325414738291076,0.9430425510927366,0.9527968694193384,0.9587714202163478,0.9645486602904153,0.968541859853385,0.9713061306254958,0.9710688370789111,0.9658255189716601,0.9423939250087127,0.9068903218171435,0.9053881986040307,0.8970287376774602,0.8926969406423402,0.8967965305334186,0.9138029968381749,0.9318224278288985,0.9366839705875659,0.9375584869832025,0.9350949413141617,0.9345281106249964,0.9257655995299016,0.9180277400758268,0.9078574803428481,0.8993597804167354,0.8924233017443901,0.8826658290039844
trunk.blocks.7,0.15357623859446487,0.1689185240738945,0.6102824712590669,0.6709433580873337,0.6698491374333656,0.6959346610063629,0.7162998681161408,0.7629930284401227,0.7995013130074581,0.8366670861850772,0.8670885446895145,0.8842259616099191,0.9024567412537348,0.919663198765548,0.930563132660363,0.940728593478767,0.9469755858767107,0.955106371401067,0.9606431831701524,0.9652395847721895,0.9664582145358167,0.9625796211241154,0.9390154075234982,0.904553269036009,0.9035961917900056,0.8949959531963527,0.8914996325290931,0.8966011491335922,0.9139019599378285,0.931687339149402,0.9360812691632273,0.9374015698190399,0.9351662077411224,0.935145683351292,0.9263975282305067,0.9182631530756857,0.9073921948437459,0.8983458466590006,0.8915134201475654,0.8825072720564351
trunk.blocks.8,0.1525183852545859,0.16723925179180352,0.5982126002726925,0.6695504199478473,0.6709552219098225,0.6961271080383051,0.716063235092154,0.7620146116267189,0.7977211614320453,0.8341392471115852,0.863610232350224,0.8809674861434901,0.8988460136696756,0.9154478265421367,0.9259699268345287,0.9352354059097094,0.9401117393464317,0.9487772843899919,0.9545684897573913,0.959710371960143,0.9611801593643806,0.9577742079313701,0.9337850601606393,0.8995346509207199,0.8986812270514196,0.8895793306179587,0.8865141804428708,0.8926810670795478,0.9106183146443761,0.928536607861589,0.932779640986228,0.9347165804136267,0.9330916405343643,0.9335197692158065,0.9249996170374729,0.9161784987013872,0.9044663640827374,0.8947556702642286,0.8879206084872919,0.8796652341734194
trunk.blocks.9,0.16046036332024122,0.17567365988524722,0.6064759560101008,0.6766719418537807,0.6756535668110231,0.699458766279696,0.7188556022817175,0.7641921094916011,0.7993941492060997,0.8351102123131696,0.8636524692993391,0.880221744536291,0.8973540447311047,0.9134736230084024,0.923118842886016,0.9320743836306037,0.9368377437010363,0.9452870107075506,0.9513319213165664,0.9562726442318364,0.9571330271598543,0.9528315210202145,0.9270137608226422,0.8907290655193476,0.8896540266982215,0.8813826430655917,0.8781802648075719,0.8847672906172461,0.903804784776215,0.923608739517995,0.9291692089130689,0.932019322427747,0.9321171710290289,0.9341525458323441,0.9272385036378591,0.9194328864151031,0.9082813882026513,0.8983852665526426,0.8913299461778669,0.8826282248693338
