,layer1,layer2,layer3
trunk.blocks.0,0.7896964391445563,0.6863492607526352,0.577041202871845
trunk.blocks.1,0.8280283147253812,0.7692574958966013,0.6983118619070106
trunk.blocks.2,0.822781590910287,0.8110979150464581,0.7730723953916914
trunk.blocks.3,0.7756930153769607,0.8208536033229665,0.831706670395066
trunk.blocks.4,0.7119950793305541,0.799709486396159,0.8452747465753797
trunk.blocks.5,0.6125725972321684,0.7316398074586484,0.8058687584926542
trunk.blocks.6,0.5904870746154277,0.71743392212999,0.7992646721630534
trunk.blocks.7,0.5562112198559043,0.6866854940029459,0.7737015031816848
trunk.blocks.8,0.5446736186775522,0.6733160839762037,0.760029741179788
trunk.blocks.9,0.5449490909300956,0.6740590607940709,0.7611599634835036
trunk.blocks.10,0.5393423523752338,0.6698466593355332,0.7575628597596058
trunk.blocks.11,0.5469758280080177,0.6745396985211771,0.7588625677283246
