,blocks.0,blocks.1,blocks.2,blocks.3,blocks.4,blocks.5,blocks.6,blocks.7,blocks.8,blocks.9,blocks.10,blocks.11,blocks.12,blocks.13,blocks.14,blocks.15,blocks.16,blocks.17,blocks.18,blocks.19,blocks.20,blocks.21,blocks.22,blocks.23,blocks.24,blocks.25,blocks.26,blocks.27,blocks.28,blocks.29,blocks.30,blocks.31,blocks.32,blocks.33,blocks.34,blocks.35,blocks.36,blocks.37,blocks.38,blocks.39
layers.0.blocks.0,0.014905210456255659,0.015183656568345917,0.06137042765442304,0.22284230297178467,0.23699593807002942,0.2524469443549359,0.2674253547948364,0.2784494670056989,0.27912426102857474,0.2751541071795149,0.26901609104291563,0.27139211576380107,0.2682562540489687,0.25955572943730176,0.2543040390339885,0.23865681318777243,0.2239325429033268,0.215398640815081,0.2073956679579404,0.20115004259312175,0.19358795355222955,0.18615248030414824,0.1745103821336152,0.16309137739738921,0.15545141006327484,0.14862138856759063,0.14746253066310502,0.15089327715008063,0.15710366834439515,0.16221653619973825,0.16464256869598007,0.17020755905303322,0.17417162146309031,0.1781422381654814,0.17899179758946862,0.17398922725872115,0.16752375219308033,0.16208457788200883,0.1620895844763306,0.17496611253441816
layers.1.blocks.0,0.04675630780824308,0.050065052733986024,0.15202083746524084,0.28659770488469904,0.30222717741593474,0.32246032000866026,0.33950550554937964,0.3566721825452766,0.36363655350005464,0.36731902676390377,0.36844564388632134,0.3743778518971437,0.37542558010620336,0.3723791240190812,0.37037885867221454,0.35919283397773155,0.3492639973036483,0.34094977746959954,0.334037198550904,0.32764281044187726,0.3215073375581436,0.3146880194720473,0.30450469832250965,0.29252792011040957,0.2854031362026588,0.2771689744922008,0.27278168027360566,0.27384539115199996,0.2795494920160538,0.28488590718521223,0.2866754890455398,0.29082199549226945,0.2915629632990084,0.2926125478066347,0.28946793091340967,0.28391429014990655,0.2768040710882987,0.2707203551909276,0.2699163750523264,0.2785623416427819
layers.2.blocks.0,0.08650249971061964,0.09440379688917319,0.2734111640190664,0.35805348422132083,0.3667056823773542,0.3925099026604195,0.4130904655158583,0.4398144327142947,0.45564136530460236,0.46945673361816864,0.483229726751101,0.4950725219002805,0.5040902832644333,0.5095558129674138,0.5130294323080726,0.5097213561352859,0.5073397332148954,0.4997587878476263,0.4934876071738872,0.48604212939269825,0.47984852579991616,0.47415432310034805,0.46769337902358316,0.4534263262237164,0.44626946498499936,0.43738124766314707,0.4303576143353175,0.42839473981100945,0.4348619912698977,0.44228568028054016,0.4457550785240848,0.4500384765158355,0.44988927356819175,0.4496060622874674,0.44629557791463514,0.44270378263522675,0.43682283349642764,0.4305212277864967,0.4281564759770906,0.43164322000111766
layers.3.blocks.0,0.06184243651795453,0.06724905614183163,0.22654738030714708,0.34888970721064605,0.35950717968554075,0.3793680457372023,0.3956531754463861,0.4173575599007618,0.4275102143220522,0.43682028862223954,0.4410923935669538,0.4482334741448553,0.4511764843075451,0.4530131905639601,0.4527722256948838,0.4457007033166013,0.438845741182455,0.4344566332836666,0.4320659374265882,0.43099023162600425,0.4281516562521885,0.4206225092217724,0.40298806659079595,0.3833568948225873,0.3794798140934852,0.37349498121417807,0.3703169994945667,0.375027474332469,0.3851401926684376,0.39487600558584524,0.39842314392117206,0.4023830312524426,0.4037297489224992,0.4051012207619126,0.40102145165653347,0.39582433187780447,0.3900462558570274,0.38438822590384353,0.38430592854967227,0.38953085652039415
layers.0.blocks.1,0.022521269548140085,0.023185089945913548,0.08022656715381964,0.2347241487232496,0.24880588655909042,0.2650420444975907,0.2803562256372443,0.2929964199755528,0.2951634224382784,0.29293323085767703,0.28891392599544863,0.29244893719372445,0.2906276701607584,0.28301226940935925,0.2788795088547577,0.26420114343844153,0.25030946800648496,0.24195358548104567,0.23393836306387364,0.22734204004478073,0.2199717111986766,0.21284090542180112,0.20207095865144623,0.19083814107248148,0.1827517676941925,0.17490744197534214,0.1731378558749916,0.17584617895848612,0.18179304865926318,0.18689226878057724,0.18927365867763785,0.19481160673863104,0.19856320899977473,0.2022769444017685,0.2028226276009039,0.19810175897946894,0.19183093592887476,0.18656555442379905,0.18640469373886753,0.19872177809125013
layers.1.blocks.1,0.057675261447206305,0.06218254707810225,0.19422678301576965,0.31577077816367416,0.3313315652396571,0.3511010165786496,0.36807037879685617,0.3875979599196439,0.39734321330087796,0.4041924637547141,0.4091040290632018,0.41671910786197913,0.4200895065404747,0.4195238210695067,0.4192671011307286,0.4103176869677466,0.4021467922046296,0.3946677047920161,0.3886630033640511,0.38232723337534696,0.37671374201008173,0.37038652497103314,0.36059176047466973,0.34742534045801204,0.34043964172056235,0.3314476415873123,0.3260138397810971,0.32660155208468894,0.33267569708927613,0.33871946330923175,0.3406066983314075,0.3446649909617955,0.3446752509134549,0.34541935054137546,0.34169548993309257,0.3362286815229255,0.32897782860949487,0.32247421836723567,0.3210510010476829,0.32763053223105437
layers.2.blocks.1,0.07169482840046891,0.07797198226106251,0.23091502705408845,0.31262698220773827,0.32100507810046297,0.3439502818036687,0.36231921941594925,0.3856531847478567,0.39925706048909326,0.41111064105745126,0.4228345020662429,0.43381990402868026,0.442038902927044,0.4468179641521876,0.4503091091011388,0.44682445188862724,0.44419770841587114,0.4377506504452975,0.4323238999420919,0.42596474984690635,0.42072817728165074,0.4156917531711315,0.40925058861329616,0.3961777230201875,0.3895385217801576,0.381059897958737,0.374840875582398,0.3734584974710397,0.37958764151485663,0.3862596243562244,0.38973518673281854,0.39432695330625317,0.3948611258235211,0.3956866316766425,0.39320825911464186,0.39020602800465876,0.3853091295174354,0.3800983817158286,0.37874198475830645,0.3831406696921003
layers.3.blocks.1,0.029678117461942197,0.03237801314999725,0.12589113778642097,0.21973724768017486,0.22918013308297178,0.24269088760885027,0.25394642789391675,0.2677319079826764,0.2719525595108021,0.2757489699854746,0.27537407630374505,0.2790459402686671,0.2794967917999549,0.27797284825953344,0.2761210434167384,0.2687679292600156,0.26147714445696746,0.2577157289015282,0.2557056732673131,0.25448500524866935,0.25204702010461727,0.2452327199704646,0.2308184915663626,0.21682686914351185,0.21365706835905696,0.2099534765567782,0.20870173271850687,0.21318631963244858,0.2197692407367213,0.2261667829510021,0.22880486215013532,0.23069835365235428,0.2332687685252347,0.23521768333833687,0.2337708376642634,0.23016915159330317,0.22677164839692085,0.22304899092506714,0.22408535381537253,0.22965732413308815
layers.2.blocks.2,0.06581760828034017,0.07179060109724293,0.22230969274186674,0.30496907448502764,0.3120127800306413,0.33508107270577164,0.35367967932494915,0.3769750094147176,0.3900830848205395,0.40175822482194223,0.41278564826481245,0.4235475322754084,0.43133995260239677,0.43613186027548817,0.4392933127657463,0.43570597784663123,0.43328388796316764,0.42675419420844224,0.42161034661099234,0.41574049615262426,0.41037529553064095,0.4048011705393585,0.3972850795724628,0.38345167531180935,0.3770797225207673,0.36953950649028156,0.36366904334465855,0.3629489359575423,0.36974102489341953,0.3771711256331066,0.3814047813790543,0.38622156591858375,0.38735204535688844,0.3887168011089964,0.38658855278721665,0.3836533657105456,0.3790075345681801,0.3740153816612133,0.37281210957250177,0.3772980473637474
layers.2.blocks.3,0.05908826812012034,0.06449077964957337,0.1982072287300119,0.2773213564113919,0.283736574395194,0.3047382684379053,0.32181284758052686,0.3424447447269773,0.35359825212419776,0.3635297263561306,0.37257279747378735,0.38182911033273387,0.3882397775790947,0.39224150984651635,0.39450940055388645,0.39063866313710516,0.3880622159765458,0.38178695164053805,0.37713918839743027,0.3721042299234937,0.36728264938738114,0.36180842127218676,0.35359683327611974,0.3399363247034263,0.3342266084749503,0.32743116018660484,0.3222561995814906,0.32219983457492263,0.32899534445929884,0.3364022597383581,0.3408488535800623,0.34576665891105535,0.34723704863362853,0.34900828388264904,0.3473744263079623,0.34498292030581873,0.3410409690196225,0.3368602322812965,0.33634222564322036,0.3408209355615781
