,layer1,layer2,layer3
layers.0.blocks.0,0.31978848210461913,0.27340603151919174,0.2238949461473751
layers.1.blocks.0,0.3955376499665354,0.3791551181774094,0.35460566645908187
layers.2.blocks.0,0.5178804016312676,0.5421956945185803,0.5450303267189416
layers.3.blocks.0,0.400549681882744,0.41613613211239775,0.42226641407798415
layers.0.blocks.1,0.33693223286750956,0.2955755869207705,0.2506371127364118
layers.1.blocks.1,0.42150506931402154,0.42132454807453795,0.40790350137979925
layers.2.blocks.1,0.45553656299751244,0.4755642020950132,0.47820120344212386
layers.3.blocks.1,0.25549481906137983,0.2530501628556867,0.24836598934215978
layers.2.blocks.2,0.44919051807394084,0.4671518503035271,0.46872768832402933
layers.2.blocks.3,0.40874497666753323,0.42413120024435613,0.42641033540050627
layers.2.blocks.4,0.4044887776429003,0.4141103837285228,0.4127511421415038
layers.2.blocks.5,0.38620634041207147,0.38228269466761156,0.3730560136018699
