,layer1,layer2,layer3
blocks.0,0.09693102012467418,0.13090606712686365,0.15684264445931434
blocks.1,0.10491494992061844,0.14275264681046212,0.17128230417331303
blocks.2,0.3323567595463549,0.45222109633367413,0.5352099181019281
blocks.3,0.4601074219627314,0.5288508964224505,0.5655468004774639
blocks.4,0.46159391504989133,0.5234375364888748,0.5547731692322342
blocks.5,0.5162263968604226,0.5713079541072494,0.595223095529594
blocks.6,0.5576407949426794,0.6086880302424046,0.62892208132839
blocks.7,0.6068032287466791,0.6595412682736506,0.678962931198128
blocks.8,0.6307056249433908,0.6892009787051349,0.7129059209671726
blocks.9,0.6521604015312742,0.7184398384005254,0.7473087780803469
blocks.10,0.6717525656686474,0.745345542922583,0.779060043528971
blocks.11,0.6957301982239881,0.7699829110494812,0.802255709821802
blocks.12,0.7105931503092758,0.7891397165659021,0.8233322714604082
blocks.13,0.7195527933783544,0.8049637185668033,0.8442203872627397
blocks.14,0.7237919395245244,0.8125964998405246,0.8543149781787638
blocks.15,0.715062454816281,0.811543242770542,0.86066888955564
blocks.16,0.7103940245515736,0.813631406156379,0.8691947832645254
blocks.17,0.6895548960040118,0.7978643651798331,0.8603490247903272
blocks.18,0.673834435741018,0.7879305148587773,0.8560159452473675
blocks.19,0.6591459840948648,0.7764966186391544,0.8492105174759536
blocks.20,0.6445977308750147,0.7646866817198372,0.841219030437765
blocks.21,0.6326056634382129,0.7531887089772711,0.8338352693247606
blocks.22,0.6273173535202073,0.743019512548895,0.8238396924508784
blocks.23,0.6074544419956801,0.7151025575851622,0.7949915083278156
blocks.24,0.5898040359192623,0.700996459431434,0.7845530896367873
blocks.25,0.5705013934520593,0.6842333496156592,0.7704344966418843
blocks.26,0.5562469495362008,0.668885332129954,0.7554714335887872
blocks.27,0.5473505051139398,0.6612231274978881,0.7485427969302366
blocks.28,0.5543017221127274,0.6718337450032176,0.7607020167102704
blocks.29,0.5647359636815977,0.6877451929911329,0.7793026492406309
blocks.30,0.5736667717709552,0.6980527334027803,0.7894637456976225
blocks.31,0.5837064687162908,0.7076520984520785,0.798135047105518
blocks.32,0.5846343972690391,0.7079425323567112,0.7981797841480421
blocks.33,0.5866685519739281,0.7108161220765439,0.8003975432190013
blocks.34,0.5870704269407986,0.7109797872994563,0.7998675401032389
blocks.35,0.5832524367824868,0.7094850641170988,0.7996738724709803
blocks.36,0.5774843218926551,0.7064161084621401,0.7990649343183299
blocks.37,0.5695445039572293,0.6990678918678375,0.7924724078639048
blocks.38,0.5657535384142746,0.6940230319076557,0.7872745797514977
blocks.39,0.5777863142042815,0.696759035523801,0.7840090622449599
