layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
trunk.blocks.0,0.0,blocks.11,0.28205128205128205,0.6490920228787852,0.04882310589231368,0.28205128205128205
trunk.blocks.1,0.09090909090909091,blocks.11,0.28205128205128205,0.7778473760663203,0.5937835495963084,0.19114219114219114
trunk.blocks.2,0.18181818181818182,blocks.12,0.3076923076923077,0.8725834846999704,0.8085928932678507,0.1258741258741259
trunk.blocks.3,0.2727272727272727,blocks.13,0.3333333333333333,0.9350696006389387,0.9232305106934896,0.06060606060606061
trunk.blocks.4,0.36363636363636365,blocks.16,0.41025641025641024,0.960869402229166,0.957748825351555,0.046620046620046596
trunk.blocks.5,0.45454545454545453,blocks.19,0.48717948717948717,0.9693684186311359,0.9682231679151909,0.03263403263403264
trunk.blocks.6,0.5454545454545454,blocks.19,0.48717948717948717,0.9713061306254958,0.9658255189716601,-0.058275058275058245
trunk.blocks.7,0.6363636363636364,blocks.20,0.5128205128205128,0.9664582145358167,0.8949959531963527,-0.12354312354312358
trunk.blocks.8,0.7272727272727273,blocks.20,0.5128205128205128,0.9611801593643806,0.9106183146443761,-0.21445221445221452
trunk.blocks.9,0.8181818181818182,blocks.20,0.5128205128205128,0.9571330271598543,0.9321171710290289,-0.30536130536130546
trunk.blocks.10,0.9090909090909091,blocks.20,0.5128205128205128,0.9522859398895488,0.9172894837964725,-0.3962703962703963
trunk.blocks.11,1.0,blocks.20,0.5128205128205128,0.952174870616021,0.8873075511062114,-0.4871794871794872
