layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
trunk.blocks.0,0.0,layer1,0.0,0.7896964391445563,0.7896964391445563,0.0
trunk.blocks.1,0.09090909090909091,layer1,0.0,0.8280283147253812,0.8280283147253812,-0.09090909090909091
trunk.blocks.2,0.18181818181818182,layer1,0.0,0.822781590910287,0.822781590910287,-0.18181818181818182
trunk.blocks.3,0.2727272727272727,layer3,1.0,0.831706670395066,0.8208536033229665,0.7272727272727273
trunk.blocks.4,0.36363636363636365,layer3,1.0,0.8452747465753797,0.799709486396159,0.6363636363636364
trunk.blocks.5,0.45454545454545453,layer3,1.0,0.8058687584926542,0.7316398074586484,0.5454545454545454
trunk.blocks.6,0.5454545454545454,layer3,1.0,0.7992646721630534,0.71743392212999,0.4545454545454546
trunk.blocks.7,0.6363636363636364,layer3,1.0,0.7737015031816848,0.6866854940029459,0.36363636363636365
trunk.blocks.8,0.7272727272727273,layer3,1.0,0.760029741179788,0.6733160839762037,0.2727272727272727
trunk.blocks.9,0.8181818181818182,layer3,1.0,0.7611599634835036,0.7611599634835036,0.18181818181818177
trunk.blocks.10,0.9090909090909091,layer3,1.0,0.7575628597596058,0.7575628597596058,0.09090909090909094
trunk.blocks.11,1.0,layer3,1.0,0.7588625677283246,0.7588625677283246,0.0
